Accession 	Parent Location 	Collected Location 	Method 	Order	Gene attempts	28S attempt	COI attempt	LCA order, if available	Combined order
NZAC03009018	LB1 	Subplot C 	Invertebrate Pitfall Trap 	Coleoptera	Both	28S	COI	Coleoptera	Coleoptera
NZAC03009021	LB1 	Subplot C 	Invertebrate Pitfall Trap 	Hymenoptera	Both	28S	COI	Hymenoptera	Hymenoptera
NZAC03009022	LB1 	Subplot C 	Invertebrate Pitfall Trap 	Coleoptera	Both	28S	COI	Coleoptera	Coleoptera
NZAC03009023	LB1 	Subplot C 	Invertebrate Pitfall Trap 	Coleoptera	Both	28S	COI	Coleoptera	Coleoptera
NZAC03009024	LB1 	Subplot C 	Invertebrate Pitfall Trap 	Diptera	Both	28S	COI	Diptera	Diptera
NZAC03009025	LB1 	Subplot C 	Invertebrate Pitfall Trap 	Hymenoptera	Both	28S	COI	Hymenoptera	Hymenoptera
NZAC03009026	LB1 	Subplot C 	Invertebrate Pitfall Trap 	Coleoptera	Both	28S	COI	Coleoptera	Coleoptera
NZAC03009027	Plot 7 	Subplot M 	Leaf Litter Collection 	Diptera	Both	28S	COI		Diptera
NZAC03009028	Plot 7 	Subplot M 	Leaf Litter Collection 	Hymenoptera	Both	28S	COI	Hymenoptera	Hymenoptera
NZAC03009029	Plot 7 	Subplot M 	Leaf Litter Collection 	Arthropoda	Both	28S	COI	Lepidoptera	Lepidoptera
NZAC03009030	Plot 7 	Subplot M 	Leaf Litter Collection 	Coleoptera	Both	28S	COI	Coleoptera	Coleoptera
NZAC03009031	Plot 7 	Subplot M 	Leaf Litter Collection 	Araneae	Both	28S	COI	Araneae	Araneae
NZAC03009032	Plot 7 	Subplot M 	Leaf Litter Collection 	Gastropoda	Both	28S	COI	(Gastropoda)	(Gastropoda)
NZAC03009034	Plot 7 	Subplot M 	Leaf Litter Collection 	Arthropoda	Both	28S	COI		Arthropoda
NZAC03009035	LB1 	Subplot L 	Invertebrate Pitfall Trap 	Coleoptera	Both	28S	COI	Coleoptera	Coleoptera
NZAC03009037	Plot 7 	Subplot M 	Leaf Litter Collection 	Empty vial	Both	28S	COI	(Gastropoda)	(Gastropoda)
NZAC03009039	LB1 	Subplot O 	Invertebrate Pitfall Trap 	Coleoptera	Both	28S	COI	Coleoptera	Coleoptera
NZAC03009040	Plot 7 	Subplot M 	Leaf Litter Collection 	Diptera	Both	28S	COI	Diptera	Diptera
NZAC03009042	LB1 	Subplot L 	Invertebrate Pitfall Trap 	Coleoptera	Both	28S	COI	Coleoptera	Coleoptera
NZAC03009047	Plot 7 	Subplot M 	Leaf Litter Collection 	Empty vial	Both	28S	COI		Empty vial
NZAC03009048	Plot 7 	Subplot M 	Leaf Litter Collection 	Gastropoda	Both	28S	COI	(Gastropoda)	(Gastropoda)
NZAC03009049	Plot 7 	Subplot M 	Leaf Litter Collection 	Gastropoda	Both	28S	COI	(Gastropoda)	(Gastropoda)
NZAC03009050	Plot 7 	Subplot M 	Leaf Litter Collection 	Empty vial	Both	28S	COI	(Gastropoda)	(Gastropoda)
NZAC03009051	LB1 	Subplot L 	Invertebrate Pitfall Trap 	Coleoptera	Both	28S	COI	Coleoptera	Coleoptera
NZAC03009052	Plot 7 	Subplot M 	Leaf Litter Collection 	Diptera	Both	28S	COI		Diptera
NZAC03009053	LB1 	Subplot L 	Invertebrate Pitfall Trap 	Coleoptera	Both	28S	COI	Coleoptera	Coleoptera
NZAC03009054	LB1 	Subplot L 	Invertebrate Pitfall Trap 	Diplopoda	Both	28S	COI		Diplopoda
NZAC03009056	LB1 	Subplot L 	Invertebrate Pitfall Trap 	Coleoptera	Both	28S	COI	Coleoptera	Coleoptera
NZAC03009057	LB1 	Subplot L 	Invertebrate Pitfall Trap 	Amphipoda	Both	28S	COI		Amphipoda
NZAC03009058	LB1 	Subplot L 	Invertebrate Pitfall Trap 	Opiliones	Both	28S	COI	Opiliones	Opiliones
NZAC03009059	LB1 	Subplot L 	Invertebrate Pitfall Trap 	Amphipoda	Both	28S	COI	Amphipoda	Amphipoda
