Accession 	Parent Location 	Collected Location 	Method 	Order	Gene attempts	28S attempt	COI attempt	LCA order, if available	Combined order
NZAC03010483	Plot 4 	Subplot H 	Invertebrate Pitfall Trap 	Coleoptera	Both	28S	COI	Coleoptera	Coleoptera
NZAC03010484	Plot 6 	Subplot A 	Invertebrate Pitfall Trap 	Coleoptera	Both	28S	COI	Coleoptera	Coleoptera
NZAC03010485	Plot 6 	Subplot A 	Invertebrate Pitfall Trap 	Hymenoptera	Both	28S	COI	Hymenoptera	Hymenoptera
NZAC03010486	Plot 6 	Subplot A 	Invertebrate Pitfall Trap 	Insecta	Both	28S	COI	Diptera	Diptera
NZAC03010487	Plot 6 	Subplot A 	Invertebrate Pitfall Trap 	Arthropoda	Both	28S	COI	Amphipoda	Amphipoda
NZAC03010488	Plot 4 	Subplot H 	Invertebrate Pitfall Trap 	Coleoptera	Both	28S	COI	Coleoptera	Coleoptera
NZAC03010489	Plot 6 	Subplot A 	Invertebrate Pitfall Trap 	Amphipoda	Both	28S	COI	Amphipoda	Amphipoda
NZAC03010490	Plot 6 	Subplot A 	Invertebrate Pitfall Trap 	Empty vial	Both	28S	COI	Amphipoda	Amphipoda
NZAC03010491	Plot 6 	Subplot A 	Invertebrate Pitfall Trap 	Coleoptera	Both	28S	COI		Coleoptera
NZAC03010492	Plot 6 	Subplot A 	Invertebrate Pitfall Trap 	Hymenoptera	Both	28S	COI	Hymenoptera	Hymenoptera
NZAC03010493	Plot 6 	Subplot A 	Invertebrate Pitfall Trap 	Coleoptera	Both	28S	COI	Coleoptera	Coleoptera
NZAC03010494	Plot 6 	Subplot E 	Invertebrate Pitfall Trap 	Empty vial	Both	28S	COI	Thysanoptera	Thysanoptera
NZAC03010495	Plot 6 	Subplot A 	Invertebrate Pitfall Trap 	Araneae	Both	28S	COI	Araneae	Araneae
NZAC03010496	Plot 2 	Subplot D 	Invertebrate Pitfall Trap 	Coleoptera	Both	28S	COI		Coleoptera
NZAC03010497	Plot 6 	Subplot E 	Invertebrate Pitfall Trap 	Hymenoptera	Both	28S	COI	Hymenoptera	Hymenoptera
NZAC03010498	Plot 6 	Subplot E 	Invertebrate Pitfall Trap 	Amphipoda	Both	28S	COI		Amphipoda
NZAC03010502	Plot 6 	Subplot A 	Invertebrate Pitfall Trap 	Coleoptera	Both	28S	COI	Coleoptera	Coleoptera
NZAC03010503	Plot 6 	Subplot A 	Invertebrate Pitfall Trap 	Hymenoptera	Both	28S	COI	Hymenoptera	Hymenoptera
NZAC03010504	Plot 4 	Subplot H 	Invertebrate Pitfall Trap 	Hymenoptera	Both	28S	COI	Hymenoptera	Hymenoptera
NZAC03010505	Plot 6 	Subplot A 	Invertebrate Pitfall Trap 	Diptera	Both	28S	COI	Diptera	Diptera
NZAC03010506	Plot 4 	Subplot H 	Invertebrate Pitfall Trap 	Coleoptera	Both	28S	COI	Coleoptera	Coleoptera
NZAC03010507	Plot 4 	Subplot H 	Invertebrate Pitfall Trap 	Coleoptera	Both	28S	COI	Coleoptera	Coleoptera
NZAC03010508	Plot 6 	Subplot A 	Invertebrate Pitfall Trap 	Coleoptera	Both	28S	COI	Coleoptera	Coleoptera
NZAC03010509	Plot 4 	Subplot H 	Invertebrate Pitfall Trap 	Hymenoptera	Both	28S	COI	Hymenoptera	Hymenoptera
NZAC03010510	Plot 6 	Subplot A 	Invertebrate Pitfall Trap 	Diptera	Both	28S	COI	Diptera	Diptera
NZAC03010511	Plot 6 	Subplot A 	Invertebrate Pitfall Trap 	Hymenoptera	Both	28S	COI	Hymenoptera	Hymenoptera
NZAC03010512	Plot 6 	Subplot A 	Invertebrate Pitfall Trap 	Coleoptera	Both	28S	COI	Coleoptera	Coleoptera
NZAC03010514	Plot 6 	Subplot A 	Invertebrate Pitfall Trap 	Coleoptera	Both	28S	COI	Coleoptera	Coleoptera
NZAC03010516	Plot 4 	Subplot H 	Invertebrate Pitfall Trap 	Coleoptera	Both	28S	COI	Coleoptera	Coleoptera
NZAC03010517	Plot 4 	Subplot H 	Invertebrate Pitfall Trap 	Lepidoptera	Both	28S	COI		Lepidoptera
NZAC03010518	Plot 6 	Subplot A 	Invertebrate Pitfall Trap 	Coleoptera	Both	28S	COI	Coleoptera	Coleoptera
NZAC03010519	Plot 6 	Subplot A 	Invertebrate Pitfall Trap 	Coleoptera	Both	28S	COI	Coleoptera	Coleoptera
NZAC03010520	Plot 6 	Subplot A 	Invertebrate Pitfall Trap 	Coleoptera	Both	28S	COI	Coleoptera	Coleoptera
NZAC03010521	Plot 6 	Subplot A 	Invertebrate Pitfall Trap 	Hymenoptera	Both	28S	COI	Hymenoptera	Hymenoptera
NZAC03010522	Plot 6 	Subplot A 	Invertebrate Pitfall Trap 	Amphipoda	Both	28S	COI	Amphipoda	Amphipoda
NZAC03010523	Plot 6 	Subplot A 	Invertebrate Pitfall Trap 	Hymenoptera	Both	28S	COI	Hymenoptera	Hymenoptera
NZAC03010524	Plot 2 	Subplot D 	Invertebrate Pitfall Trap 	Amphipoda	Both	28S	COI	Amphipoda	Amphipoda
NZAC03010525	Plot 6 	Subplot E 	Invertebrate Pitfall Trap 	Coleoptera	Both	28S	COI	Coleoptera	Coleoptera
NZAC03010526	Plot 6 	Subplot E 	Invertebrate Pitfall Trap 	Diptera	Both	28S	COI	Hymenoptera	Hymenoptera
NZAC03010527	Plot 6 	Subplot E 	Invertebrate Pitfall Trap 	Diptera	Both	28S	COI		Diptera
NZAC03010530	Plot 6 	Subplot A 	Invertebrate Pitfall Trap 	Coleoptera	Both	28S	COI	Coleoptera	Coleoptera
NZAC03010531	Plot 4 	Subplot H 	Invertebrate Pitfall Trap 	Coleoptera	Both	28S	COI	Coleoptera	Coleoptera
NZAC03010533	Plot 4 	Subplot H 	Invertebrate Pitfall Trap 	Coleoptera	Both	28S	COI	Coleoptera	Coleoptera
NZAC03010535	Plot 4 	Subplot H 	Invertebrate Pitfall Trap 	Lepidoptera	Both	28S	COI		Lepidoptera
NZAC03010536	Plot 4 	Subplot H 	Invertebrate Pitfall Trap 	Hymenoptera	Both	28S	COI	Hymenoptera	Hymenoptera
NZAC03010537	Plot 6 	Subplot E 	Invertebrate Pitfall Trap 	Isopoda	Both	28S	COI		Isopoda
NZAC03010538	Plot 4 	Subplot H 	Invertebrate Pitfall Trap 	Coleoptera	Both	28S	COI	Coleoptera	Coleoptera
NZAC03010539	Plot 6 	Subplot A 	Invertebrate Pitfall Trap 	Hymenoptera	Both	28S	COI	Hymenoptera	Hymenoptera
NZAC03010540	Plot 6 	Subplot A 	Invertebrate Pitfall Trap 	Amphipoda	Both	28S	COI	Amphipoda	Amphipoda
NZAC03010543	Plot 6 	Subplot E 	Invertebrate Pitfall Trap 	Diptera	Both	28S	COI	Diptera	Diptera
NZAC03010545	Plot 6 	Subplot A 	Invertebrate Pitfall Trap 	Coleoptera	Both	28S	COI	Coleoptera	Coleoptera
NZAC03010546	Plot 6 	Subplot A 	Invertebrate Pitfall Trap 	Hemiptera	Both	28S	COI	Hemiptera	Hemiptera
NZAC03010548	Plot 6 	Subplot A 	Invertebrate Pitfall Trap 	Hymenoptera	Both	28S	COI	Hymenoptera	Hymenoptera
NZAC03010549	Plot 6 	Subplot A 	Invertebrate Pitfall Trap 	Coleoptera	Both	28S	COI	Coleoptera	Coleoptera
NZAC03010550	Plot 6 	Subplot A 	Invertebrate Pitfall Trap 	Coleoptera	Both	28S	COI	Coleoptera	Coleoptera
NZAC03010551	Plot 6 	Subplot E 	Invertebrate Pitfall Trap 	Coleoptera	Both	28S	COI	Coleoptera	Coleoptera
NZAC03010552	Plot 2 	Subplot D 	Invertebrate Pitfall Trap 	Coleoptera	Both	28S	COI	Coleoptera	Coleoptera
NZAC03010553	Plot 6 	Subplot E 	Invertebrate Pitfall Trap 	Coleoptera	Both	28S	COI	Coleoptera	Coleoptera
NZAC03010554	Plot 6 	Subplot E 	Invertebrate Pitfall Trap 	Hymenoptera	Both	28S	COI	Hymenoptera	Hymenoptera
NZAC03010559	Plot 6 	Subplot A 	Invertebrate Pitfall Trap 	Hymenoptera	Both	28S	COI	Hymenoptera	Hymenoptera
NZAC03010560	Plot 4 	Subplot H 	Invertebrate Pitfall Trap 	Diptera	Both	28S	COI	Diptera	Diptera
NZAC03010562	Plot 6 	Subplot A 	Invertebrate Pitfall Trap 	Coleoptera	Both	28S	COI	Coleoptera	Coleoptera
NZAC03010563	Plot 4 	Subplot H 	Invertebrate Pitfall Trap 	Amphipoda	Both	28S	COI	Amphipoda	Amphipoda
NZAC03010564	Plot 4 	Subplot H 	Invertebrate Pitfall Trap 	Hymenoptera	Both	28S	COI	Hymenoptera	Hymenoptera
NZAC03010565	Plot 4 	Subplot H 	Invertebrate Pitfall Trap 	Coleoptera	Both	28S	COI	Coleoptera	Coleoptera
NZAC03010566	Plot 6 	Subplot A 	Invertebrate Pitfall Trap 	Arthropoda	Both	28S	COI	Amphipoda	Amphipoda
NZAC03010567	Plot 6 	Subplot E 	Invertebrate Pitfall Trap 	Diptera	Both	28S	COI	Hymenoptera	Hymenoptera
NZAC03010568	Plot 6 	Subplot A 	Invertebrate Pitfall Trap 	Coleoptera	Both	28S	COI	Coleoptera	Coleoptera
NZAC03010570	Plot 6 	Subplot A 	Invertebrate Pitfall Trap 	Coleoptera	Both	28S	COI	Coleoptera	Coleoptera
NZAC03010571	Plot 6 	Subplot A 	Invertebrate Pitfall Trap 	Coleoptera	Both	28S	COI	Coleoptera	Coleoptera
NZAC03010572	Plot 6 	Subplot A 	Invertebrate Pitfall Trap 	Hymenoptera	Both	28S	COI	Hymenoptera	Hymenoptera
NZAC03010573	Plot 4 	Subplot H 	Invertebrate Pitfall Trap 	Coleoptera	Both	28S	COI	Coleoptera	Coleoptera
NZAC03010574	Plot 6 	Subplot E 	Invertebrate Pitfall Trap 	Hymenoptera	Both	28S	COI	Hymenoptera	Hymenoptera
NZAC03010575	Plot 6 	Subplot A 	Invertebrate Pitfall Trap 	Coleoptera	Both	28S	COI	Coleoptera	Coleoptera
NZAC03010576	Plot 6 	Subplot A 	Invertebrate Pitfall Trap 	Arthropoda	Both	28S	COI	Isopoda	Isopoda
NZAC03010577	Plot 6 	Subplot A 	Invertebrate Pitfall Trap 	Arthropoda	Both	28S	COI	Hemiptera	Hemiptera
NZAC03010578	Plot 6 	Subplot A 	Invertebrate Pitfall Trap 	Diptera	Both	28S	COI	Diptera	Diptera
NZAC03010579	Plot 6 	Subplot A 	Invertebrate Pitfall Trap 	Coleoptera	Both	28S	COI	Coleoptera	Coleoptera
NZAC03010580	Plot 6 	Subplot E 	Invertebrate Pitfall Trap 	Araneae	Both	28S	COI	Araneae	Araneae
NZAC03010581	Plot 6 	Subplot E 	Invertebrate Pitfall Trap 	Coleoptera	Both	28S	COI	Coleoptera	Coleoptera
NZAC03010582	Plot 6 	Subplot E 	Invertebrate Pitfall Trap 	Diplopoda	Both	28S	COI	Polydesmida	Polydesmida
NZAC03010585	Plot 6 	Subplot A 	Invertebrate Pitfall Trap 	Coleoptera	Both	28S	COI	Coleoptera	Coleoptera
NZAC03010588	Plot 6 	Subplot A 	Invertebrate Pitfall Trap 	Diptera	Both	28S	COI	Diptera	Diptera
NZAC03010591	Plot 4 	Subplot H 	Invertebrate Pitfall Trap 	Hymenoptera	Both	28S	COI	Hymenoptera	Hymenoptera
NZAC03010592	Plot 4 	Subplot H 	Invertebrate Pitfall Trap 	Hymenoptera	Both	28S	COI	Hymenoptera	Hymenoptera
NZAC03010593	Plot 4 	Subplot H 	Invertebrate Pitfall Trap 	Amphipoda	Both	28S	COI	Amphipoda	Amphipoda
NZAC03010596	Plot 6 	Subplot A 	Invertebrate Pitfall Trap 	Hymenoptera	Both	28S	COI	Hymenoptera	Hymenoptera
NZAC03010597	Plot 6 	Subplot A 	Invertebrate Pitfall Trap 	Coleoptera	Both	28S	COI		Coleoptera
NZAC03010604	Plot 6 	Subplot A 	Invertebrate Pitfall Trap 	Coleoptera	Both	28S	COI	Coleoptera	Coleoptera
NZAC03010605	Plot 6 	Subplot A 	Invertebrate Pitfall Trap 	Empty vial	Both	28S	COI	Amphipoda	Amphipoda
NZAC03010606	Plot 6 	Subplot A 	Invertebrate Pitfall Trap 	Diptera	Both	28S	COI	Hymenoptera	Hymenoptera
NZAC03010607	Plot 6 	Subplot A 	Invertebrate Pitfall Trap 	Hymenoptera	Both	28S	COI	Hymenoptera	Hymenoptera
NZAC03010608	Plot 6 	Subplot E 	Invertebrate Pitfall Trap 	Coleoptera	Both	28S	COI	Coleoptera	Coleoptera
NZAC03010609	Plot 6 	Subplot E 	Invertebrate Pitfall Trap 	Diptera	Both	28S	COI		Diptera
NZAC03010610	Plot 6 	Subplot E 	Invertebrate Pitfall Trap 	Diptera	Both	28S	COI	Diptera	Diptera
NZAC03010613	Plot 6 	Subplot A 	Invertebrate Pitfall Trap 	Coleoptera	Both	28S	COI	Coleoptera	Coleoptera
NZAC03010614	Plot 6 	Subplot A 	Invertebrate Pitfall Trap 	Diptera	Both	28S	COI	Hymenoptera	Hymenoptera
NZAC03010615	Plot 4 	Subplot H 	Invertebrate Pitfall Trap 	Coleoptera	Both	28S	COI	Coleoptera	Coleoptera
NZAC03010616	Plot 6 	Subplot E 	Invertebrate Pitfall Trap 	Coleoptera	Both	28S	COI	Coleoptera	Coleoptera
NZAC03010619	Plot 4 	Subplot H 	Invertebrate Pitfall Trap 	Hymenoptera	Both	28S	COI	Hymenoptera	Hymenoptera
NZAC03010620	Plot 4 	Subplot H 	Invertebrate Pitfall Trap 	Coleoptera	Both	28S	COI	Coleoptera	Coleoptera
NZAC03010621	Plot 6 	Subplot A 	Invertebrate Pitfall Trap 	Hymenoptera	Both	28S	COI	Hymenoptera	Hymenoptera
NZAC03010622	Plot 4 	Subplot H 	Invertebrate Pitfall Trap 	Empty vial	Both	28S	COI	Araneae	Araneae
NZAC03010623	Plot 6 	Subplot A 	Invertebrate Pitfall Trap 	Hymenoptera	Both	28S	COI	Hymenoptera	Hymenoptera
NZAC03010624	Plot 6 	Subplot A 	Invertebrate Pitfall Trap 	Hymenoptera	Both	28S	COI	Hymenoptera	Hymenoptera
NZAC03010625	Plot 6 	Subplot E 	Invertebrate Pitfall Trap 	Coleoptera	Both	28S	COI	Coleoptera	Coleoptera
NZAC03010627	Plot 6 	Subplot A 	Invertebrate Pitfall Trap 	Lepidoptera	Both	28S	COI		Lepidoptera
NZAC03010630	Plot 6 	Subplot A 	Invertebrate Pitfall Trap 	Coleoptera	Both	28S	COI	Coleoptera	Coleoptera
NZAC03010631	Plot 6 	Subplot A 	Invertebrate Pitfall Trap 	Coleoptera	Both	28S	COI		Coleoptera
NZAC03010632	Plot 6 	Subplot A 	Invertebrate Pitfall Trap 	Diptera	Both	28S	COI	Hymenoptera	Hymenoptera
NZAC03010633	Plot 6 	Subplot A 	Invertebrate Pitfall Trap 	Empty vial	Both	28S	COI	Coleoptera	Coleoptera
NZAC03010634	Plot 6 	Subplot E 	Invertebrate Pitfall Trap 	Coleoptera	Both	28S	COI	Coleoptera	Coleoptera
NZAC03010635	Plot 6 	Subplot A 	Invertebrate Pitfall Trap 	Hymenoptera	Both	28S	COI	Hymenoptera	Hymenoptera
NZAC03010636	Plot 2 	Subplot D 	Invertebrate Pitfall Trap 	Coleoptera	Both	28S	COI	Coleoptera	Coleoptera
NZAC03010637	Plot 6 	Subplot E 	Invertebrate Pitfall Trap 	Hymenoptera	Both	28S	COI	Hymenoptera	Hymenoptera
NZAC03010638	Plot 6 	Subplot E 	Invertebrate Pitfall Trap 	Diptera	Both	28S	COI	Diptera	Diptera
NZAC03010641	Plot 4 	Subplot A 	Invertebrate Pitfall Trap 	Coleoptera	Both	28S	COI		Coleoptera
NZAC03010642	Plot 6 	Subplot A 	Invertebrate Pitfall Trap 	Hymenoptera	Both	28S	COI	Hymenoptera	Hymenoptera
NZAC03010643	Plot 4 	Subplot H 	Invertebrate Pitfall Trap 	Coleoptera	Both	28S	COI	Coleoptera	Coleoptera
NZAC03010644	Plot 4 	Subplot H 	Invertebrate Pitfall Trap 	Amphipoda	Both	28S	COI	Amphipoda	Amphipoda
NZAC03010646	Plot 6 	Subplot A 	Invertebrate Pitfall Trap 	Coleoptera	Both	28S	COI	Coleoptera	Coleoptera
NZAC03010647	Plot 4 	Subplot H 	Invertebrate Pitfall Trap 	Hymenoptera	Both	28S	COI	Hymenoptera	Hymenoptera
NZAC03010648	Plot 6 	Subplot A 	Invertebrate Pitfall Trap 	Hymenoptera	Both	28S	COI	Hymenoptera	Hymenoptera
NZAC03010649	Plot 4 	Subplot H 	Invertebrate Pitfall Trap 	Coleoptera	Both	28S	COI	Coleoptera	Coleoptera
NZAC03010650	Plot 6 	Subplot A 	Invertebrate Pitfall Trap 	Coleoptera	Both	28S	COI	Coleoptera	Coleoptera
NZAC03010652	Plot 6 	Subplot A 	Invertebrate Pitfall Trap 	Arthropoda	Both	28S	COI	Amphipoda	Amphipoda
NZAC03010653	Plot 6 	Subplot A 	Invertebrate Pitfall Trap 	Coleoptera	Both	28S	COI	Coleoptera	Coleoptera
NZAC03010657	Plot 6 	Subplot A 	Invertebrate Pitfall Trap 	Coleoptera	Both	28S	COI	Coleoptera	Coleoptera
NZAC03010660	Plot 6 	Subplot A 	Invertebrate Pitfall Trap 	Hymenoptera	Both	28S	COI	Hymenoptera	Hymenoptera
NZAC03010661	Plot 6 	Subplot A 	Invertebrate Pitfall Trap 	Arthropoda	Both	28S	COI	Amphipoda	Amphipoda
NZAC03010662	Plot 6 	Subplot A 	Invertebrate Pitfall Trap 	Hymenoptera	Both	28S	COI		Hymenoptera
NZAC03010663	Plot 6 	Subplot A 	Invertebrate Pitfall Trap 	Coleoptera	Both	28S	COI	Coleoptera	Coleoptera
NZAC03010664	Plot 2 	Subplot D 	Invertebrate Pitfall Trap 	Coleoptera	Both	28S	COI		Coleoptera
NZAC03010665	CM30c30 	Subplot M 	Invertebrate Pitfall Trap 	Hymenoptera	Both	28S	COI	Hymenoptera	Hymenoptera
NZAC03010666	CM30c30 	Subplot M 	Invertebrate Pitfall Trap 	Opiliones	Both	28S	COI		Opiliones
NZAC03010667	CM30c30 	Subplot M 	Invertebrate Pitfall Trap 	Hymenoptera	Both	28S	COI	Hymenoptera	Hymenoptera
NZAC03010668	CM30c30 	Subplot I 	Invertebrate Pitfall Trap 	Empty vial	Both	28S	COI	(Endopterygota)	(Endopterygota)
NZAC03010669	CM30c30 	Subplot M 	Invertebrate Pitfall Trap 	Hymenoptera	Both	28S	COI	Hymenoptera	Hymenoptera
NZAC03010670	CM30c30 	Subplot M 	Invertebrate Pitfall Trap 	Amphipoda	Both	28S	COI	Amphipoda	Amphipoda
NZAC03010671	CM30c30 	Subplot I 	Invertebrate Pitfall Trap 	Diptera	Both	28S	COI	Diptera	Diptera
NZAC03010672	CM30c30 	Subplot M 	Invertebrate Pitfall Trap 	Empty vial	Both	28S	COI	(Endopterygota)	(Endopterygota)
NZAC03010673	CM30c30 	Subplot I 	Invertebrate Pitfall Trap 	Coleoptera	Both	28S	COI		Coleoptera
NZAC03010674	CM30c30 	Subplot M 	Invertebrate Pitfall Trap 	Hymenoptera	Both	28S	COI	Hymenoptera	Hymenoptera
NZAC03010675	CM30c30 	Subplot I 	Invertebrate Pitfall Trap 	Diptera	Both	28S	COI	Diptera	Diptera
NZAC03010676	CM30c30 	Subplot M 	Invertebrate Pitfall Trap 	Amphipoda	Both	28S	COI	Amphipoda	Amphipoda
NZAC03010677	CM30c30 	Subplot M 	Invertebrate Pitfall Trap 	Lepidoptera	Both	28S	COI		Lepidoptera
NZAC03010678	CM30c30 	Subplot I 	Invertebrate Pitfall Trap 	Hemiptera	Both	28S	COI	Hemiptera	Hemiptera
NZAC03010679	CM30c30 	Subplot M 	Invertebrate Pitfall Trap 	Amphipoda	Both	28S	COI	Amphipoda	Amphipoda
NZAC03010680	CM30c30 	Subplot M 	Invertebrate Pitfall Trap 	Hymenoptera	Both	28S	COI	Hymenoptera	Hymenoptera
NZAC03010681	CM30c30 	Subplot M 	Invertebrate Pitfall Trap 	Amphipoda	Both	28S	COI		Amphipoda
NZAC03010682	CM30c30 	Subplot M 	Invertebrate Pitfall Trap 	Hymenoptera	Both	28S	COI	Hymenoptera	Hymenoptera
NZAC03010683	CM30c30 	Subplot M 	Invertebrate Pitfall Trap 	Empty vial	Both	28S	COI	Phasmatodea	Phasmatodea
NZAC03010684	CM30c30 	Subplot M 	Invertebrate Pitfall Trap 	Hymenoptera	Both	28S	COI	Hymenoptera	Hymenoptera
NZAC03010685	CM30c30 	Subplot M 	Invertebrate Pitfall Trap 	Amphipoda	Both	28S	COI	Amphipoda	Amphipoda
NZAC03010686	CM30c30 	Subplot M 	Invertebrate Pitfall Trap 	Amphipoda	Both	28S	COI		Amphipoda
NZAC03010687	CM30c30 	Subplot M 	Invertebrate Pitfall Trap 	Diptera	Both	28S	COI	Diptera	Diptera
NZAC03010688	CM30c30 	Subplot I 	Invertebrate Pitfall Trap 	Amphipoda	Both	28S	COI	Amphipoda	Amphipoda
NZAC03010689	CM30c30 	Subplot I 	Invertebrate Pitfall Trap 	Isopoda	Both	28S	COI		Isopoda
NZAC03010690	CM30c30 	Subplot M 	Invertebrate Pitfall Trap 	Coleoptera	Both	28S	COI	Coleoptera	Coleoptera
NZAC03010691	CM30c30 	Subplot M 	Invertebrate Pitfall Trap 	Coleoptera	Both	28S	COI	Coleoptera	Coleoptera
NZAC03010692	CM30c30 	Subplot M 	Invertebrate Pitfall Trap 	Amphipoda	Both	28S	COI	Amphipoda	Amphipoda
NZAC03010693	CM30c30 	Subplot M 	Invertebrate Pitfall Trap 	Hymenoptera	Both	28S	COI	Hymenoptera	Hymenoptera
NZAC03010694	CM30c30 	Subplot M 	Invertebrate Pitfall Trap 	Diptera	Both	28S	COI	Diptera	Diptera
NZAC03010695	CM30c30 	Subplot M 	Invertebrate Pitfall Trap 	Hymenoptera	Both	28S	COI	Hymenoptera	Hymenoptera
NZAC03010696	CM30c30 	Subplot M 	Invertebrate Pitfall Trap 	Hymenoptera	Both	28S	COI	Hymenoptera	Hymenoptera
NZAC03010697	CM30c30 	Subplot M 	Invertebrate Pitfall Trap 	Coleoptera	Both	28S	COI	Coleoptera	Coleoptera
NZAC03010698	CM30c30 	Subplot M 	Invertebrate Pitfall Trap 	Araneae	Both	28S	COI	Araneae	Araneae
NZAC03010699	CM30c30 	Subplot M 	Invertebrate Pitfall Trap 	Diptera	Both	28S	COI	Diptera	Diptera
NZAC03010700	CM30c30 	Subplot M 	Invertebrate Pitfall Trap 	Araneae	Both	28S	COI	Araneae	Araneae
NZAC03010701	CM30c30 	Subplot M 	Invertebrate Pitfall Trap 	Hemiptera	Both	28S	COI		Hemiptera
NZAC03010703	CM30c30 	Subplot M 	Invertebrate Pitfall Trap 	Diptera	Both	28S	COI	Diptera	Diptera
NZAC03010704	CM30c30 	Subplot M 	Invertebrate Pitfall Trap 	Coleoptera	Both	28S	COI	Coleoptera	Coleoptera
NZAC03010705	CM30c30 	Subplot M 	Invertebrate Pitfall Trap 	Empty vial	Both	28S	COI	Araneae	Araneae
NZAC03010706	CM30c30 	Subplot M 	Invertebrate Pitfall Trap 	Hymenoptera	Both	28S	COI	Hymenoptera	Hymenoptera
NZAC03010707	CM30c30 	Subplot M 	Invertebrate Pitfall Trap 	Amphipoda	Both	28S	COI	Amphipoda	Amphipoda
NZAC03010708	CM30c30 	Subplot M 	Invertebrate Pitfall Trap 	Coleoptera	Both	28S	COI	Coleoptera	Coleoptera
NZAC03010709	CM30c30 	Subplot M 	Invertebrate Pitfall Trap 	Amphipoda	Both	28S	COI	Amphipoda	Amphipoda
NZAC03010710	CM30c30 	Subplot M 	Invertebrate Pitfall Trap 	Amphipoda	Both	28S	COI	Amphipoda	Amphipoda
NZAC03010711	Plot 1 	Subplot M 	Invertebrate Pitfall Trap 	Amphipoda	Both	28S	COI		Amphipoda
NZAC03010712	CM30c30 	Subplot M 	Invertebrate Pitfall Trap 	Coleoptera	Both	28S	COI	Coleoptera	Coleoptera
NZAC03010713	CM30c30 	Subplot M 	Invertebrate Pitfall Trap 	Amphipoda	Both	28S	COI	Amphipoda	Amphipoda
NZAC03010714	CM30c30 	Subplot M 	Invertebrate Pitfall Trap 	Hymenoptera	Both	28S	COI	Hymenoptera	Hymenoptera
NZAC03010715	CM30c30 	Subplot M 	Invertebrate Pitfall Trap 	Empty vial	Both	28S	COI		Empty vial
NZAC03010716	CM30c30 	Subplot M 	Invertebrate Pitfall Trap 	Empty vial	Both	28S	COI	Opiliones	Opiliones
NZAC03010717	CM30c30 	Subplot M 	Invertebrate Pitfall Trap 	Coleoptera	Both	28S	COI	Coleoptera	Coleoptera
NZAC03010718	CM30c30 	Subplot M 	Invertebrate Pitfall Trap 	Orthoptera	Both	28S	COI	Orthoptera	Orthoptera
NZAC03010719	CM30c30 	Subplot M 	Invertebrate Pitfall Trap 	Amphipoda	Both	28S	COI	Amphipoda	Amphipoda
NZAC03010720	CM30c30 	Subplot M 	Invertebrate Pitfall Trap 	Arachnida	Both	28S	COI	Opiliones	Opiliones
NZAC03010721	Plot 1 	Subplot M 	Invertebrate Pitfall Trap 	Araneae	Both	28S	COI		Araneae
NZAC03010722	Plot 1 	Subplot M 	Invertebrate Pitfall Trap 	Diptera	Both	28S	COI	Diptera	Diptera
NZAC03010723	Plot 1 	Subplot M 	Invertebrate Pitfall Trap 	Coleoptera	Both	28S	COI		Coleoptera
NZAC03010724	Plot 1 	Subplot M 	Invertebrate Pitfall Trap 	Orthoptera	Both	28S	COI	Orthoptera	Orthoptera
NZAC03010725	Plot 1 	Subplot M 	Invertebrate Pitfall Trap 	Opiliones	Both	28S	COI	Opiliones	Opiliones
NZAC03010726	Plot 1 	Subplot M 	Invertebrate Pitfall Trap 	Lepidoptera	Both	28S	COI		Lepidoptera
NZAC03010727	Plot 1 	Subplot M 	Invertebrate Pitfall Trap 	Coleoptera	Both	28S	COI		Coleoptera
NZAC03010728	Plot 1 	Subplot M 	Invertebrate Pitfall Trap 	Hymenoptera	Both	28S	COI	Hymenoptera	Hymenoptera
NZAC03010729	Plot 1 	Subplot M 	Invertebrate Pitfall Trap 	Hymenoptera	Both	28S	COI		Hymenoptera
NZAC03010730	Plot 1 	Subplot M 	Invertebrate Pitfall Trap 	Pseudoscorpiones	Both	28S	COI		Pseudoscorpiones
NZAC03010731	Plot 1 	Subplot M 	Invertebrate Pitfall Trap 	Hymenoptera	Both	28S	COI		Hymenoptera
NZAC03010732	CM30c30 	Subplot M 	Invertebrate Pitfall Trap 	Hemiptera	Both	28S	COI	Hemiptera	Hemiptera
NZAC03010733	CM30c30 	Subplot M 	Invertebrate Pitfall Trap 	Amphipoda	Both	28S	COI	Amphipoda	Amphipoda
NZAC03010734	CM30c30 	Subplot M 	Invertebrate Pitfall Trap 	Coleoptera	Both	28S	COI	Coleoptera	Coleoptera
NZAC03010735	CM30c30 	Subplot M 	Invertebrate Pitfall Trap 	Araneae	Both	28S	COI	Araneae	Araneae
NZAC03010736	CM30c30 	Subplot M 	Invertebrate Pitfall Trap 	Hymenoptera	Both	28S	COI	Hymenoptera	Hymenoptera
NZAC03010737	CM30c30 	Subplot M 	Invertebrate Pitfall Trap 	Hymenoptera	Both	28S	COI	Hymenoptera	Hymenoptera
NZAC03010738	CM30c30 	Subplot M 	Invertebrate Pitfall Trap 	Amphipoda	Both	28S	COI	Amphipoda	Amphipoda
NZAC03010739	CM30c30 	Subplot M 	Invertebrate Pitfall Trap 	Amphipoda	Both	28S	COI	Amphipoda	Amphipoda
NZAC03010740	CM30c30 	Subplot M 	Invertebrate Pitfall Trap 	Insecta	Both	28S	COI	Lepidoptera	Lepidoptera
