Accession 	Gene	Parent Location 	Collected Location 	Method 	Order	LCA order (if available)	Combined order
NZAC03009239	28S	LB1 	Subplot L 	Invertebrate Pitfall Trap 	Diptera	Diptera	Diptera
NZAC03009241	28S	LB1 	Subplot L 	Invertebrate Pitfall Trap 	Coleoptera	Coleoptera	Coleoptera
NZAC03009245	Both	LB1 	Subplot L 	Invertebrate Pitfall Trap 	Amphipoda	0	Amphipoda
NZAC03009246	28S	LB1 	Subplot O 	Invertebrate Pitfall Trap 	Amphipoda	Amphipoda	Amphipoda
NZAC03009247	28S	LB1 	Subplot L 	Invertebrate Pitfall Trap 	Amphipoda	Amphipoda	Amphipoda
NZAC03009251	28S	LB1 	Subplot L 	Invertebrate Pitfall Trap 	Hymenoptera	Hymenoptera	Hymenoptera
NZAC03009252	28S	LB1 	Subplot L 	Invertebrate Pitfall Trap 	Coleoptera	Coleoptera	Coleoptera
NZAC03009254	28S	LB1 	Subplot L 	Invertebrate Pitfall Trap 	Amphipoda	Amphipoda	Amphipoda
NZAC03009256	28S	LB1 	Subplot L 	Invertebrate Pitfall Trap 	Coleoptera	Coleoptera	Coleoptera
NZAC03009257	28S	LB1 	Subplot L 	Invertebrate Pitfall Trap 	Coleoptera	Coleoptera	Coleoptera
NZAC03009258	28S	LB1 	Subplot O 	Invertebrate Pitfall Trap 	Amphipoda	Amphipoda	Amphipoda
NZAC03009260	28S	LB1 	Subplot L 	Invertebrate Pitfall Trap 	Diplopoda	0	(Diplopoda)
NZAC03009262	28S	LB1 	Subplot L 	Invertebrate Pitfall Trap 	Amphipoda	Amphipoda	Amphipoda
NZAC03009263	28S	LB1 	Subplot O 	Invertebrate Pitfall Trap 	Amphipoda	Amphipoda	Amphipoda
NZAC03009266	28S	LB1 	Subplot O 	Invertebrate Pitfall Trap 	Amphipoda	Amphipoda	Amphipoda
NZAC03009270	Both	Plot 7 	Subplot M 	Leaf Litter Collection 	Diptera	0	Diptera
NZAC03009277	28S	Plot 7 	Subplot M 	Leaf Litter Collection 	Coleoptera	Coleoptera	Coleoptera
NZAC03009279	28S	Plot 7 	Subplot M 	Leaf Litter Collection 	Diptera	Diptera	Diptera
NZAC03009280	28S	Plot 7 	Subplot M 	Leaf Litter Collection 	Diptera	Diptera	Diptera
NZAC03009286	Both	Plot 7 	Subplot M 	Leaf Litter Collection 	Coleoptera	0	Coleoptera
NZAC03009291	Both	Plot 7 	Subplot M 	Leaf Litter Collection 	Arthropoda	0	(Arthropoda)
NZAC03009296	28S	Plot 7 	Subplot M 	Leaf Litter Collection 	0	(Endopterygota)	(Endopterygota)
NZAC03009300	28S	LB1 	Subplot L 	Invertebrate Pitfall Trap 	Amphipoda	Amphipoda	Amphipoda
NZAC03009302	28S	LB1 	Subplot L 	Invertebrate Pitfall Trap 	Arthropoda	Diptera	Diptera
NZAC03009303	Both	LB1 	Subplot L 	Invertebrate Pitfall Trap 	Coleoptera	0	Coleoptera
NZAC03009305	Both	LB1 	Subplot L 	Invertebrate Pitfall Trap 	Amphipoda	0	Amphipoda
NZAC03009307	Both	LB1 	Subplot L 	Invertebrate Pitfall Trap 	Amphipoda	0	Amphipoda
NZAC03009309	28S	LB1 	Subplot L 	Invertebrate Pitfall Trap 	Diptera	Diptera	Diptera
NZAC03009316	28S	LB1 	Subplot O 	Invertebrate Pitfall Trap 	Amphipoda	Amphipoda	Amphipoda
NZAC03009320	Both	LB1 	Subplot L 	Invertebrate Pitfall Trap 	Amphipoda	0	Amphipoda
NZAC03009337	Both	CM30c30 	Subplot I 	Invertebrate Pitfall Trap 	Amphipoda	0	Amphipoda
NZAC03009338	Both	CM30c30 	Subplot I 	Invertebrate Pitfall Trap 	Hymenoptera	0	Hymenoptera
NZAC03009340	28S	CM30c30 	Subplot I 	Invertebrate Pitfall Trap 	Amphipoda	Amphipoda	Amphipoda
NZAC03009344	Both	CM30c30 	Subplot I 	Invertebrate Pitfall Trap 	Amphipoda	0	Amphipoda
NZAC03009351	28S	LB1 	Subplot O 	Invertebrate Pitfall Trap 	Amphipoda	Amphipoda	Amphipoda
NZAC03009352	28S	LB1 	Subplot O 	Invertebrate Pitfall Trap 	Insecta	Diptera	Diptera
NZAC03009354	Both	LB1 	Subplot O 	Invertebrate Pitfall Trap 	Coleoptera	0	Coleoptera
NZAC03010136	28S	Plot 7 	Subplot M 	Leaf Litter Collection 	Diplopoda	(Diplopoda)	(Diplopoda)
NZAC03010147	Both	Plot 7 	Subplot M 	Leaf Litter Collection 	Diptera	0	Diptera
NZAC03010157	Both	Plot 7 	Subplot M 	Leaf Litter Collection 	Empty vial	0	Empty vial
NZAC03010165	Both	Plot 7 	Subplot M 	Leaf Litter Collection 	Empty vial	0	Empty vial
NZAC03010166	Both	Plot 7 	Subplot M 	Leaf Litter Collection 	Arthropoda	0	(Arthropoda)
NZAC03010186	28S	Plot 7 	Subplot M 	Leaf Litter Collection 	Araneae	0	Araneae
NZAC03010189	28S	Plot 7 	Subplot M 	Leaf Litter Collection 	Amphipoda	Amphipoda	Amphipoda
NZAC03010191	Both	Plot 7 	Subplot M 	Leaf Litter Collection 	Empty vial	0	Empty vial
NZAC03010197	28S	Plot 7 	Subplot M 	Leaf Litter Collection 	Hemiptera	Hemiptera	Hemiptera
NZAC03010201	28S	Plot 7 	Subplot M 	Leaf Litter Collection 	Diptera	Diptera	Diptera
NZAC03010202	Both	Plot 7 	Subplot M 	Leaf Litter Collection 	Diptera	0	Diptera
NZAC03010209	28S	Plot 7 	Subplot M 	Leaf Litter Collection 	Diptera	Diptera	Diptera
NZAC03010258	Both	Plot 1 	Subplot L 	Leaf Litter Collection 	Lepidoptera	0	Lepidoptera
NZAC03010272	Both	Plot 1 	Subplot L 	Leaf Litter Collection 	Hymenoptera	0	Hymenoptera
NZAC03010280	Both	Plot 1 	Subplot L 	Leaf Litter Collection 	Amphipoda	0	Amphipoda
NZAC03010291	Both	Plot 1 	Subplot L 	Leaf Litter Collection 	Empty vial	0	Empty vial
NZAC03010293	Both	Plot 1 	Subplot L 	Leaf Litter Collection 	Gastropoda	0	(Gastropoda)
NZAC03010298	28S	Plot 1 	Subplot L 	Leaf Litter Collection 	Coleoptera	Coleoptera	Coleoptera
NZAC03010306	Both	Plot 7 	Subplot M 	Leaf Litter Collection 	Empty vial	0	Empty vial
NZAC03010308	Both	Plot 7 	Subplot M 	Leaf Litter Collection 	Empty vial	0	Empty vial
NZAC03010310	28S	Plot 7 	Subplot M 	Leaf Litter Collection 	Diptera	Diptera	Diptera
NZAC03010311	28S	Plot 7 	Subplot M 	Leaf Litter Collection 	Insecta	Diptera	Diptera
NZAC03010312	28S	Plot 7 	Subplot M 	Leaf Litter Collection 	Diptera	Diptera	Diptera
NZAC03010320	28S	Plot 7 	Subplot M 	Leaf Litter Collection 	Amphipoda	Amphipoda	Amphipoda
NZAC03010322	28S	Plot 7 	Subplot M 	Leaf Litter Collection 	Coleoptera	Coleoptera	Coleoptera
NZAC03010323	28S	Plot 7 	Subplot M 	Leaf Litter Collection 	Coleoptera	Coleoptera	Coleoptera
NZAC03010325	Both	Plot 7 	Subplot M 	Leaf Litter Collection 	Empty vial	0	Empty vial
NZAC03010336	28S	Plot 7 	Subplot M 	Leaf Litter Collection 	Diptera	Diptera	Diptera
NZAC03010339	Both	Plot 7 	Subplot M 	Leaf Litter Collection 	Gastropoda	0	(Gastropoda)
NZAC03010352	Both	Plot 7 	Subplot M 	Leaf Litter Collection 	Diptera	0	Diptera
NZAC03010358	Both	Plot 7 	Subplot M 	Leaf Litter Collection 	Gastropoda	0	(Gastropoda)
NZAC03010365	28S	Plot 7 	Subplot M 	Leaf Litter Collection 	Amphipoda	Amphipoda	Amphipoda
NZAC03010370	Both	Plot 7 	Subplot M 	Leaf Litter Collection 	Coleoptera	0	Coleoptera
NZAC03010380	Both	Plot 7 	Subplot M 	Leaf Litter Collection 	Amphipoda	0	Amphipoda
NZAC03010382	Both	Plot 7 	Subplot M 	Leaf Litter Collection 	Diptera	0	Diptera
NZAC03010383	Both	Plot 7 	Subplot M 	Leaf Litter Collection 	Araneae	0	Araneae
NZAC03010385	28S	Plot 7 	Subplot M 	Leaf Litter Collection 	Amphipoda	Amphipoda	Amphipoda
NZAC03010388	28S	Plot 7 	Subplot M 	Leaf Litter Collection 	Amphipoda	Amphipoda	Amphipoda
NZAC03010393	Both	Plot 1 	Subplot L 	Leaf Litter Collection 	Amphipoda	0	Amphipoda
NZAC03010404	Both	Plot 1 	Subplot L 	Leaf Litter Collection 	Amphipoda	0	Amphipoda
NZAC03010417	28S	Plot 6 	Subplot A 	Invertebrate Pitfall Trap 	Diptera	Diptera	Diptera
NZAC03010418	28S	Plot 6 	Subplot A 	Invertebrate Pitfall Trap 	Coleoptera	Coleoptera	Coleoptera
NZAC03010435	28S	Plot 6 	Subplot A 	Invertebrate Pitfall Trap 	Hymenoptera	Hymenoptera	Hymenoptera
NZAC03010436	28S	Plot 6 	Subplot A 	Invertebrate Pitfall Trap 	Diptera	Diptera	Diptera
NZAC03010442	28S	Plot 6 	Subplot E 	Invertebrate Pitfall Trap 	Hymenoptera	Hymenoptera	Hymenoptera
NZAC03010443	28S	Plot 6 	Subplot E 	Invertebrate Pitfall Trap 	Coleoptera	Coleoptera	Coleoptera
NZAC03010455	28S	Plot 6 	Subplot A 	Invertebrate Pitfall Trap 	Diptera	(Endopterygota)	(Endopterygota)
NZAC03010462	Both	Plot 6 	Subplot E 	Invertebrate Pitfall Trap 	Isopoda	0	Isopoda
NZAC03010467	28S	Plot 6 	Subplot E 	Invertebrate Pitfall Trap 	Coleoptera	Coleoptera	Coleoptera
NZAC03010475	28S	Plot 6 	Subplot A 	Invertebrate Pitfall Trap 	Hymenoptera	Hymenoptera	Hymenoptera
NZAC03010485	28S	Plot 6 	Subplot A 	Invertebrate Pitfall Trap 	Hymenoptera	Hymenoptera	Hymenoptera
NZAC03010486	28S	Plot 6 	Subplot A 	Invertebrate Pitfall Trap 	Insecta	Diptera	Diptera
NZAC03010487	28S	Plot 6 	Subplot A 	Invertebrate Pitfall Trap 	Arthropoda	Amphipoda	Amphipoda
NZAC03010489	28S	Plot 6 	Subplot A 	Invertebrate Pitfall Trap 	Amphipoda	Amphipoda	Amphipoda
NZAC03010490	28S	Plot 6 	Subplot A 	Invertebrate Pitfall Trap 	Empty vial	Amphipoda	Amphipoda
NZAC03010491	Both	Plot 6 	Subplot A 	Invertebrate Pitfall Trap 	Coleoptera	0	Coleoptera
NZAC03010496	Both	Plot 2 	Subplot D 	Invertebrate Pitfall Trap 	Coleoptera	0	Coleoptera
NZAC03010498	Both	Plot 6 	Subplot E 	Invertebrate Pitfall Trap 	Amphipoda	0	Amphipoda
NZAC03010503	28S	Plot 6 	Subplot A 	Invertebrate Pitfall Trap 	Hymenoptera	Hymenoptera	Hymenoptera
NZAC03010505	28S	Plot 6 	Subplot A 	Invertebrate Pitfall Trap 	Diptera	Diptera	Diptera
NZAC03010510	28S	Plot 6 	Subplot A 	Invertebrate Pitfall Trap 	Diptera	Diptera	Diptera
NZAC03010517	Both	Plot 4 	Subplot H 	Invertebrate Pitfall Trap 	Lepidoptera	0	Lepidoptera
NZAC03010522	28S	Plot 6 	Subplot A 	Invertebrate Pitfall Trap 	Amphipoda	Amphipoda	Amphipoda
NZAC03010524	28S	Plot 2 	Subplot D 	Invertebrate Pitfall Trap 	Amphipoda	Amphipoda	Amphipoda
NZAC03010527	Both	Plot 6 	Subplot E 	Invertebrate Pitfall Trap 	Diptera	0	Diptera
NZAC03010531	28S	Plot 4 	Subplot H 	Invertebrate Pitfall Trap 	Coleoptera	Coleoptera	Coleoptera
NZAC03010535	Both	Plot 4 	Subplot H 	Invertebrate Pitfall Trap 	Lepidoptera	0	Lepidoptera
NZAC03010537	Both	Plot 6 	Subplot E 	Invertebrate Pitfall Trap 	Isopoda	0	Isopoda
NZAC03010540	28S	Plot 6 	Subplot A 	Invertebrate Pitfall Trap 	Amphipoda	Amphipoda	Amphipoda
NZAC03010549	28S	Plot 6 	Subplot A 	Invertebrate Pitfall Trap 	Coleoptera	Coleoptera	Coleoptera
NZAC03010554	28S	Plot 6 	Subplot E 	Invertebrate Pitfall Trap 	Hymenoptera	Hymenoptera	Hymenoptera
NZAC03010560	28S	Plot 4 	Subplot H 	Invertebrate Pitfall Trap 	Diptera	Diptera	Diptera
NZAC03010566	28S	Plot 6 	Subplot A 	Invertebrate Pitfall Trap 	Arthropoda	Amphipoda	Amphipoda
NZAC03010568	28S	Plot 6 	Subplot A 	Invertebrate Pitfall Trap 	Coleoptera	Coleoptera	Coleoptera
NZAC03010570	28S	Plot 6 	Subplot A 	Invertebrate Pitfall Trap 	Coleoptera	Coleoptera	Coleoptera
NZAC03010578	28S	Plot 6 	Subplot A 	Invertebrate Pitfall Trap 	Diptera	Diptera	Diptera
NZAC03010597	Both	Plot 6 	Subplot A 	Invertebrate Pitfall Trap 	Coleoptera	0	Coleoptera
NZAC03010605	28S	Plot 6 	Subplot A 	Invertebrate Pitfall Trap 	Empty vial	Amphipoda	Amphipoda
NZAC03010609	Both	Plot 6 	Subplot E 	Invertebrate Pitfall Trap 	Diptera	0	Diptera
NZAC03010627	Both	Plot 6 	Subplot A 	Invertebrate Pitfall Trap 	Lepidoptera	0	Lepidoptera
NZAC03010630	28S	Plot 6 	Subplot A 	Invertebrate Pitfall Trap 	Coleoptera	Coleoptera	Coleoptera
NZAC03010631	Both	Plot 6 	Subplot A 	Invertebrate Pitfall Trap 	Coleoptera	0	Coleoptera
NZAC03010638	28S	Plot 6 	Subplot E 	Invertebrate Pitfall Trap 	Diptera	Diptera	Diptera
NZAC03010641	Both	Plot 4 	Subplot A 	Invertebrate Pitfall Trap 	Coleoptera	0	Coleoptera
NZAC03010650	28S	Plot 6 	Subplot A 	Invertebrate Pitfall Trap 	Coleoptera	Coleoptera	Coleoptera
NZAC03010652	28S	Plot 6 	Subplot A 	Invertebrate Pitfall Trap 	Arthropoda	Amphipoda	Amphipoda
NZAC03010661	28S	Plot 6 	Subplot A 	Invertebrate Pitfall Trap 	Arthropoda	Amphipoda	Amphipoda
NZAC03010663	28S	Plot 6 	Subplot A 	Invertebrate Pitfall Trap 	Coleoptera	Coleoptera	Coleoptera
NZAC03010664	Both	Plot 2 	Subplot D 	Invertebrate Pitfall Trap 	Coleoptera	0	Coleoptera
NZAC03010665	28S	CM30c30 	Subplot M 	Invertebrate Pitfall Trap 	Hymenoptera	Hymenoptera	Hymenoptera
NZAC03010666	Both	CM30c30 	Subplot M 	Invertebrate Pitfall Trap 	Opiliones	0	Opiliones
NZAC03010667	28S	CM30c30 	Subplot M 	Invertebrate Pitfall Trap 	Hymenoptera	Hymenoptera	Hymenoptera
NZAC03010668	28S	CM30c30 	Subplot I 	Invertebrate Pitfall Trap 	Empty vial	(Endopterygota)	(Endopterygota)
NZAC03010670	28S	CM30c30 	Subplot M 	Invertebrate Pitfall Trap 	Amphipoda	Amphipoda	Amphipoda
NZAC03010672	28S	CM30c30 	Subplot M 	Invertebrate Pitfall Trap 	Empty vial	(Endopterygota)	(Endopterygota)
NZAC03010673	Both	CM30c30 	Subplot I 	Invertebrate Pitfall Trap 	Coleoptera	0	Coleoptera
NZAC03010676	28S	CM30c30 	Subplot M 	Invertebrate Pitfall Trap 	Amphipoda	Amphipoda	Amphipoda
NZAC03010677	Both	CM30c30 	Subplot M 	Invertebrate Pitfall Trap 	Lepidoptera	0	Lepidoptera
NZAC03010679	28S	CM30c30 	Subplot M 	Invertebrate Pitfall Trap 	Amphipoda	Amphipoda	Amphipoda
NZAC03010683	28S	CM30c30 	Subplot M 	Invertebrate Pitfall Trap 	Empty vial	Phasmatodea	Phasmatodea
NZAC03010686	28S	CM30c30 	Subplot M 	Invertebrate Pitfall Trap 	Amphipoda	0	Amphipoda
NZAC03010688	28S	CM30c30 	Subplot I 	Invertebrate Pitfall Trap 	Amphipoda	Amphipoda	Amphipoda
NZAC03010689	Both	CM30c30 	Subplot I 	Invertebrate Pitfall Trap 	Isopoda	0	Isopoda
NZAC03010691	28S	CM30c30 	Subplot M 	Invertebrate Pitfall Trap 	Coleoptera	Coleoptera	Coleoptera
NZAC03010692	28S	CM30c30 	Subplot M 	Invertebrate Pitfall Trap 	Amphipoda	Amphipoda	Amphipoda
NZAC03010694	28S	CM30c30 	Subplot M 	Invertebrate Pitfall Trap 	Diptera	Diptera	Diptera
NZAC03010698	28S	CM30c30 	Subplot M 	Invertebrate Pitfall Trap 	Araneae	Araneae	Araneae
NZAC03010699	28S	CM30c30 	Subplot M 	Invertebrate Pitfall Trap 	Diptera	Diptera	Diptera
NZAC03010701	Both	CM30c30 	Subplot M 	Invertebrate Pitfall Trap 	Hemiptera	0	Hemiptera
NZAC03010703	28S	CM30c30 	Subplot M 	Invertebrate Pitfall Trap 	Diptera	Diptera	Diptera
NZAC03010705	28S	CM30c30 	Subplot M 	Invertebrate Pitfall Trap 	Empty vial	Araneae	Araneae
NZAC03010707	28S	CM30c30 	Subplot M 	Invertebrate Pitfall Trap 	Amphipoda	Amphipoda	Amphipoda
NZAC03010708	28S	CM30c30 	Subplot M 	Invertebrate Pitfall Trap 	Coleoptera	Coleoptera	Coleoptera
NZAC03010709	28S	CM30c30 	Subplot M 	Invertebrate Pitfall Trap 	Amphipoda	Amphipoda	Amphipoda
NZAC03010710	28S	CM30c30 	Subplot M 	Invertebrate Pitfall Trap 	Amphipoda	Amphipoda	Amphipoda
NZAC03010711	28S	Plot 1 	Subplot M 	Invertebrate Pitfall Trap 	Amphipoda	0	Amphipoda
NZAC03010713	28S	CM30c30 	Subplot M 	Invertebrate Pitfall Trap 	Amphipoda	Amphipoda	Amphipoda
NZAC03010715	Both	CM30c30 	Subplot M 	Invertebrate Pitfall Trap 	Empty vial	0	Empty vial
NZAC03010717	28S	CM30c30 	Subplot M 	Invertebrate Pitfall Trap 	Coleoptera	Coleoptera	Coleoptera
NZAC03010719	28S	CM30c30 	Subplot M 	Invertebrate Pitfall Trap 	Amphipoda	Amphipoda	Amphipoda
NZAC03010722	28S	Plot 1 	Subplot M 	Invertebrate Pitfall Trap 	Diptera	Diptera	Diptera
NZAC03010723	Both	Plot 1 	Subplot M 	Invertebrate Pitfall Trap 	Coleoptera	0	Coleoptera
NZAC03010726	Both	Plot 1 	Subplot M 	Invertebrate Pitfall Trap 	Lepidoptera	0	Lepidoptera
NZAC03010728	28S	Plot 1 	Subplot M 	Invertebrate Pitfall Trap 	Hymenoptera	Hymenoptera	Hymenoptera
NZAC03010729	Both	Plot 1 	Subplot M 	Invertebrate Pitfall Trap 	Hymenoptera	0	Hymenoptera
NZAC03010730	Both	Plot 1 	Subplot M 	Invertebrate Pitfall Trap 	Pseudoscorpiones	0	Pseudoscorpiones
NZAC03010731	Both	Plot 1 	Subplot M 	Invertebrate Pitfall Trap 	Hymenoptera	0	Hymenoptera
NZAC03010732	28S	CM30c30 	Subplot M 	Invertebrate Pitfall Trap 	Hemiptera	Hemiptera	Hemiptera
NZAC03010733	28S	CM30c30 	Subplot M 	Invertebrate Pitfall Trap 	Amphipoda	Amphipoda	Amphipoda
NZAC03010735	28S	CM30c30 	Subplot M 	Invertebrate Pitfall Trap 	Araneae	Araneae	Araneae
NZAC03010738	28S	CM30c30 	Subplot M 	Invertebrate Pitfall Trap 	Amphipoda	Amphipoda	Amphipoda
NZAC03010739	28S	CM30c30 	Subplot M 	Invertebrate Pitfall Trap 	Amphipoda	Amphipoda	Amphipoda
NZAC03010740	28S	CM30c30 	Subplot M 	Invertebrate Pitfall Trap 	Insecta	Lepidoptera	Lepidoptera
NZAC03010743	28S	CM30c30 	Subplot M 	Invertebrate Pitfall Trap 	Empty vial	(Onychophora)	(Onychophora)
NZAC03010745	28S	CM30c30 	Subplot M 	Invertebrate Pitfall Trap 	Hymenoptera	Hymenoptera	Hymenoptera
NZAC03010749	28S	CM30c30 	Subplot M 	Invertebrate Pitfall Trap 	Amphipoda	Amphipoda	Amphipoda
NZAC03010750	28S	CM30c30 	Subplot M 	Invertebrate Pitfall Trap 	Diptera	Diptera	Diptera
NZAC03010751	28S	CM30c30 	Subplot M 	Invertebrate Pitfall Trap 	Araneae	Araneae	Araneae
NZAC03010752	28S	CM30c30 	Subplot M 	Invertebrate Pitfall Trap 	Isopoda	0	Isopoda
NZAC03010753	Both	CM30c30 	Subplot M 	Invertebrate Pitfall Trap 	Lepidoptera	0	Lepidoptera
NZAC03010754	Both	CM30c30 	Subplot M 	Invertebrate Pitfall Trap 	Arachnida	0	(Arachnida)
NZAC03010755	Both	CM30c30 	Subplot M 	Invertebrate Pitfall Trap 	Coleoptera	0	Coleoptera
NZAC03010756	28S	CM30c30 	Subplot M 	Invertebrate Pitfall Trap 	Coleoptera	Coleoptera	Coleoptera
NZAC03010757	28S	CM30c30 	Subplot M 	Invertebrate Pitfall Trap 	Amphipoda	Amphipoda	Amphipoda
NZAC03010758	28S	CM30c30 	Subplot M 	Invertebrate Pitfall Trap 	Amphipoda	Amphipoda	Amphipoda
NZAC03010759	Both	CM30c30 	Subplot M 	Invertebrate Pitfall Trap 	Amphipoda	0	Amphipoda
NZAC03010761	28S	CM30c30 	Subplot M 	Invertebrate Pitfall Trap 	Diptera	Diptera	Diptera
NZAC03010763	Both	CM30c30 	Subplot M 	Invertebrate Pitfall Trap 	Coleoptera	0	Coleoptera
NZAC03010764	Both	CM30c30 	Subplot M 	Invertebrate Pitfall Trap 	Lepidoptera	0	Lepidoptera
NZAC03010766	28S	CM30c30 	Subplot M 	Invertebrate Pitfall Trap 	Amphipoda	Amphipoda	Amphipoda
NZAC03010767	28S	CM30c30 	Subplot M 	Invertebrate Pitfall Trap 	Diptera	Diptera	Diptera
NZAC03010769	Both	CM30c30 	Subplot M 	Invertebrate Pitfall Trap 	Orthoptera	0	Orthoptera
NZAC03010770	28S	CM30c30 	Subplot M 	Invertebrate Pitfall Trap 	Diptera	Diptera	Diptera
NZAC03010771	28S	CM30c30 	Subplot M 	Invertebrate Pitfall Trap 	Amphipoda	Amphipoda	Amphipoda
NZAC03010772	Both	CM30c30 	Subplot M 	Invertebrate Pitfall Trap 	Coleoptera	0	Coleoptera
NZAC03010773	Both	CM30c30 	Subplot M 	Invertebrate Pitfall Trap 	Coleoptera	0	Coleoptera
NZAC03010775	28S	CM30c30 	Subplot M 	Invertebrate Pitfall Trap 	Hymenoptera	Hymenoptera	Hymenoptera
NZAC03010796	28S	Plot 2 	Subplot D 	Invertebrate Pitfall Trap 	Orthoptera	Orthoptera	Orthoptera
NZAC03010806	28S	Plot 2 	Subplot D 	Invertebrate Pitfall Trap 	Hemiptera	0	Hemiptera
NZAC03010811	28S	Plot 2 	Subplot D 	Invertebrate Pitfall Trap 	Coleoptera	Coleoptera	Coleoptera
NZAC03010812	Both	Plot 2 	Subplot D 	Invertebrate Pitfall Trap 	Hemiptera	0	Hemiptera
NZAC03010813	28S	Plot 6 	Subplot E 	Invertebrate Pitfall Trap 	Geophilomorpha	0	Geophilomorpha
NZAC03010816	28S	Plot 6 	Subplot A 	Invertebrate Pitfall Trap 	Diptera	Diptera	Diptera
NZAC03010818	28S	Plot 2 	Subplot D 	Invertebrate Pitfall Trap 	Araneae	Araneae	Araneae
NZAC03010819	Both	Plot 2 	Subplot D 	Invertebrate Pitfall Trap 	Coleoptera	0	Coleoptera
NZAC03010822	Both	Plot 2 	Subplot D 	Invertebrate Pitfall Trap 	Hymenoptera	0	Hymenoptera
NZAC03010824	Both	Plot 2 	Subplot D 	Invertebrate Pitfall Trap 	Hymenoptera	0	Hymenoptera
NZAC03010825	28S	Plot 2 	Subplot D 	Invertebrate Pitfall Trap 	Diptera	0	Diptera
NZAC03010827	28S	Plot 2 	Subplot D 	Invertebrate Pitfall Trap 	Coleoptera	Coleoptera	Coleoptera
NZAC03010828	Both	Plot 2 	Subplot D 	Invertebrate Pitfall Trap 	Diptera	0	Diptera
NZAC03010829	Both	Plot 2 	Subplot D 	Invertebrate Pitfall Trap 	Coleoptera	0	Coleoptera
NZAC03010832	28S	Plot 2 	Subplot D 	Invertebrate Pitfall Trap 	Hemiptera	Hemiptera	Hemiptera
NZAC03010841	Both	Plot 2 	Subplot D 	Invertebrate Pitfall Trap 	Hymenoptera	0	Hymenoptera
NZAC03010848	Both	Plot 1 	Subplot L 	Invertebrate Pitfall Trap 	Amphipoda	0	Amphipoda
NZAC03010849	Both	Plot 1 	Subplot L 	Invertebrate Pitfall Trap 	Amphipoda	0	Amphipoda
NZAC03010851	Both	Plot 1 	Subplot L 	Invertebrate Pitfall Trap 	Amphipoda	0	Amphipoda
NZAC03010853	Both	Plot 1 	Subplot L 	Invertebrate Pitfall Trap 	Amphipoda	0	Amphipoda
NZAC03010870	28S	Plot 1 	Subplot L 	Invertebrate Pitfall Trap 	Araneae	Araneae	Araneae
NZAC03010871	Both	Plot 1 	Subplot D 	Invertebrate Pitfall Trap 	Coleoptera	0	Coleoptera
NZAC03010875	Both	Plot 1 	Subplot D 	Invertebrate Pitfall Trap 	Empty vial	0	Empty vial
NZAC03010877	Both	Plot 1 	Subplot D 	Invertebrate Pitfall Trap 	Hymenoptera	0	Hymenoptera
NZAC03010889	Both	Plot 1 	Subplot M 	Invertebrate Pitfall Trap 	Coleoptera	0	Coleoptera
NZAC03010890	Both	Plot 1 	Subplot M 	Invertebrate Pitfall Trap 	Lepidoptera	0	Lepidoptera
NZAC03010891	28S	Plot 1 	Subplot M 	Invertebrate Pitfall Trap 	Diptera	Diptera	Diptera
NZAC03010892	Both	Plot 1 	Subplot D 	Invertebrate Pitfall Trap 	Lithobiomorpha	0	Lithobiomorpha
NZAC03010893	Both	Plot 1 	Subplot M 	Invertebrate Pitfall Trap 	Hymenoptera	0	Hymenoptera
NZAC03010895	Both	Plot 1 	Subplot M 	Invertebrate Pitfall Trap 	Araneae	0	Araneae
NZAC03010896	28S	Plot 1 	Subplot D 	Invertebrate Pitfall Trap 	Araneae	Araneae	Araneae
NZAC03010899	28S	Plot 1 	Subplot D 	Invertebrate Pitfall Trap 	Araneae	0	Araneae
NZAC03010902	Both	Plot 1 	Subplot D 	Invertebrate Pitfall Trap 	Araneae	0	Araneae
NZAC03010905	Both	Plot 1 	Subplot D 	Invertebrate Pitfall Trap 	Amphipoda	0	Amphipoda
NZAC03010906	28S	Plot 1 	Subplot D 	Invertebrate Pitfall Trap 	Isopoda	0	Isopoda
NZAC03010907	Both	Plot 1 	Subplot D 	Invertebrate Pitfall Trap 	Amphipoda	0	Amphipoda
NZAC03010909	28S	Plot 1 	Subplot D 	Invertebrate Pitfall Trap 	Amphipoda	0	Amphipoda
NZAC03010910	Both	Plot 1 	Subplot D 	Invertebrate Pitfall Trap 	Amphipoda	0	Amphipoda
NZAC03010914	Both	Plot 1 	Subplot D 	Invertebrate Pitfall Trap 	Coleoptera	0	Coleoptera
NZAC03010915	Both	Plot 1 	Subplot D 	Invertebrate Pitfall Trap 	Coleoptera	0	Coleoptera
NZAC03010918	28S	CM30c30 	Subplot L 	Leaf Litter Collection 	Amphipoda	Amphipoda	Amphipoda
NZAC03010953	28S	Plot 6 	Subplot N 	Leaf Litter Collection 	Diptera	Diptera	Diptera
NZAC03010955	28S	Plot 6 	Subplot N 	Leaf Litter Collection 	Diptera	0	Diptera
NZAC03010961	28S	Plot 6 	Subplot N 	Leaf Litter Collection 	Arachnida	0	(Arachnida)
NZAC03010974	28S	CM30c30 	Subplot L 	Leaf Litter Collection 	Empty vial	Amphipoda	Amphipoda
NZAC03011017	28S	CM30c30 	Subplot L 	Leaf Litter Collection 	Amphipoda	Amphipoda	Amphipoda
NZAC03011040	28S	CM30c30 	Subplot L 	Leaf Litter Collection 	Amphipoda	Amphipoda	Amphipoda
