NZAC	Plot	Method	LCA	LCA_rank	Gene	Phylum	Class	Order
NZAC03009238	Plot_LB1	Pitfall-Trap	Formicidae	family	COI only	Arthropoda	Insecta	Hymenoptera
NZAC03009247	Plot_LB1	Pitfall-Trap	Amphipoda	order	COI only	Arthropoda	Malacostraca	Amphipoda
NZAC03009331	Plot_LB1	Pitfall-Trap	Diptera	order	COI only	Arthropoda	Insecta	Diptera
NZAC03009104	Plot_LB1	Pitfall-Trap	Diptera	order	COI only	Arthropoda	Insecta	Diptera
NZAC03009101	Plot_LB1	Pitfall-Trap	Coleoptera	order	COI only	Arthropoda	Insecta	Coleoptera
NZAC03009039	Plot_LB1	Pitfall-Trap	Coleoptera	order	COI only	Arthropoda	Insecta	Coleoptera
NZAC03009100	Plot_LB1	Pitfall-Trap	Amphipoda	order	COI only	Arthropoda	Malacostraca	Amphipoda
NZAC03009111	Plot_LB1	Pitfall-Trap	Amphipoda	order	COI only	Arthropoda	Malacostraca	Amphipoda
NZAC03009162	Plot_LB1	Pitfall-Trap	Coleoptera	order	COI only	Arthropoda	Insecta	Coleoptera
NZAC03009351	Plot_LB1	Pitfall-Trap	Amphipoda	order	COI only	Arthropoda	Malacostraca	Amphipoda
NZAC03009175	Plot_LB1	Pitfall-Trap	Isopoda	order	COI only	Arthropoda	Malacostraca	Isopoda
NZAC03009096	Plot_LB1	Pitfall-Trap	Coleoptera	order	COI only	Arthropoda	Insecta	Coleoptera
NZAC03009109	Plot_LB1	Pitfall-Trap	Amphipoda	order	COI only	Arthropoda	Malacostraca	Amphipoda
NZAC03010722	Plot_1	Pitfall-Trap	Diptera	order	COI only	Arthropoda	Insecta	Diptera
NZAC03013602	Plot_2	Pitfall-Trap	Diptera	order	COI only	Arthropoda	Insecta	Diptera
NZAC03009110	Plot_LB1	Pitfall-Trap	Amphipoda	order	COI only	Arthropoda	Malacostraca	Amphipoda
NZAC03009164	Plot_LB1	Pitfall-Trap	Amphipoda	order	COI only	Arthropoda	Malacostraca	Amphipoda
NZAC03009174	Plot_LB1	Pitfall-Trap	Amphipoda	order	COI only	Arthropoda	Malacostraca	Amphipoda
NZAC03009129	Plot_LB1	Pitfall-Trap	Endopterygota	infraclass	COI only	Arthropoda	Insecta	(Endopterygota)
NZAC03009099	Plot_LB1	Pitfall-Trap	Amphipoda	order	COI only	Arthropoda	Malacostraca	Amphipoda
NZAC03009352	Plot_LB1	Pitfall-Trap	Diptera	order	COI only	Arthropoda	Insecta	Diptera
NZAC03009106	Plot_LB1	Pitfall-Trap	Diptera	order	COI only	Arthropoda	Insecta	Diptera
NZAC03009116	Plot_LB1	Pitfall-Trap	Amphipoda	order	COI only	Arthropoda	Malacostraca	Amphipoda
NZAC03009125	Plot_LB1	Pitfall-Trap	Amphipoda	order	COI only	Arthropoda	Malacostraca	Amphipoda
NZAC03009103	Plot_LB1	Pitfall-Trap	Amphipoda	order	COI only	Arthropoda	Malacostraca	Amphipoda
NZAC03009168	Plot_LB1	Pitfall-Trap	Amphipoda	order	COI only	Arthropoda	Malacostraca	Amphipoda
NZAC03009265	Plot_LB1	Pitfall-Trap	Amphipoda	order	COI only	Arthropoda	Malacostraca	Amphipoda
NZAC03009258	Plot_LB1	Pitfall-Trap	Amphipoda	order	COI only	Arthropoda	Malacostraca	Amphipoda
NZAC03009124	Plot_LB1	Pitfall-Trap	Amphipoda	order	COI only	Arthropoda	Malacostraca	Amphipoda
NZAC03009093	Plot_LB1	Pitfall-Trap	Diptera	order	COI only	Arthropoda	Insecta	Diptera
