NZAC	Plot	Method	LCA	LCA_rank	Gene	Phylum	Class	Order
NZAC03012192	Plot_4	Leaf-Litter	Hemiptera	order	28S only	Arthropoda	Insecta	Hemiptera
NZAC03012281	Plot_4	Leaf-Litter	Ptiliidae	family	28S only	Arthropoda	Insecta	Coleoptera
NZAC03012300	Plot_4	Leaf-Litter	Isopoda	order	28S only	Arthropoda	Malacostraca	Isopoda
NZAC03012201	Plot_4	Leaf-Litter	Diplura	class	28S only	Arthropoda	Diplura	(Diplura)
NZAC03012269	Plot_4	Leaf-Litter	Cicadellidae	family	28S only	Arthropoda	Insecta	Hemiptera
NZAC03012272	Plot_4	Leaf-Litter	Araneae	order	28S only	Arthropoda	Arachnida	Araneae
NZAC03012363	Plot_4	Leaf-Litter	Isopoda	order	28S only	Arthropoda	Malacostraca	Isopoda
NZAC03012391	Plot_4	Leaf-Litter	Isopoda	order	28S only	Arthropoda	Malacostraca	Isopoda
NZAC03012381	Plot_4	Leaf-Litter	Siphonaptera	order	28S only	Arthropoda	Insecta	Siphonaptera
NZAC03012395	Plot_4	Leaf-Litter	Isopoda	order	28S only	Arthropoda	Malacostraca	Isopoda
NZAC03012421	Plot_4	Leaf-Litter	Isopoda	order	28S only	Arthropoda	Malacostraca	Isopoda
NZAC03012387	Plot_4	Leaf-Litter	Aphidoidea	superfamily	28S only	Arthropoda	Insecta	Hemiptera
NZAC03012372	Plot_4	Leaf-Litter	Diplura	class	28S only	Arthropoda	Diplura	(Diplura)
NZAC03012427	Plot_4	Leaf-Litter	Isopoda	order	28S only	Arthropoda	Malacostraca	Isopoda
NZAC03012446	Plot_5	Leaf-Litter	Polydesmida	order	28S only	Arthropoda	Diplopoda	Polydesmida
NZAC03012038	Plot_6	Leaf-Litter	Polydesmida	order	28S only	Arthropoda	Diplopoda	Polydesmida
NZAC03012841	Plot_5	Leaf-Litter	Polydesmida	order	28S only	Arthropoda	Diplopoda	Polydesmida
NZAC03012002	Plot_6	Leaf-Litter	Polydesmida	order	28S only	Arthropoda	Diplopoda	Polydesmida
NZAC03012544	Plot_5	Leaf-Litter	Hemiptera	order	28S only	Arthropoda	Insecta	Hemiptera
NZAC03011708	Plot_6	Leaf-Litter	Lepidoptera	order	28S only	Arthropoda	Insecta	Lepidoptera
NZAC03012068	Plot_6	Leaf-Litter	Polydesmida	order	28S only	Arthropoda	Diplopoda	Polydesmida
NZAC03011947	Plot_5	Leaf-Litter	Lepidoptera	order	28S only	Arthropoda	Insecta	Lepidoptera
NZAC03010940	Plot_6	Leaf-Litter	Polydesmida	order	28S only	Arthropoda	Diplopoda	Polydesmida
NZAC03012966	Plot_6	Leaf-Litter	Isopoda	order	28S only	Arthropoda	Malacostraca	Isopoda
NZAC03012970	Plot_6	Leaf-Litter	Coleoptera	order	28S only	Arthropoda	Insecta	Coleoptera
NZAC03013159	Plot_6	Leaf-Litter	Coleoptera	order	28S only	Arthropoda	Insecta	Coleoptera
NZAC03012136	Plot_6	Leaf-Litter	Polydesmida	order	28S only	Arthropoda	Diplopoda	Polydesmida
NZAC03011294	Plot_6	Leaf-Litter	Polydesmida	order	28S only	Arthropoda	Diplopoda	Polydesmida
NZAC03010935	Plot_6	Leaf-Litter	Isopoda	order	28S only	Arthropoda	Malacostraca	Isopoda
NZAC03009299	Plot_7	Leaf-Litter	Eupulmonata	no rank	28S only	Mollusca	Gastropoda	(Gastropoda)
NZAC03009028	Plot_7	Leaf-Litter	Formicidae	family	28S only	Arthropoda	Insecta	Hymenoptera
NZAC03010151	Plot_7	Leaf-Litter	Araneae	order	28S only	Arthropoda	Arachnida	Araneae
NZAC03009048	Plot_7	Leaf-Litter	Eupulmonata	no rank	28S only	Mollusca	Gastropoda	(Gastropoda)
NZAC03010331	Plot_7	Leaf-Litter	Curculionidae	family	28S only	Arthropoda	Insecta	Coleoptera
NZAC03009049	Plot_7	Leaf-Litter	Eupulmonata	no rank	28S only	Mollusca	Gastropoda	(Gastropoda)
NZAC03009315	Plot_7	Leaf-Litter	Eupulmonata	no rank	28S only	Mollusca	Gastropoda	(Gastropoda)
NZAC03010169	Plot_7	Leaf-Litter	Eupulmonata	no rank	28S only	Mollusca	Gastropoda	(Gastropoda)
NZAC03010192	Plot_7	Leaf-Litter	Eupulmonata	no rank	28S only	Mollusca	Gastropoda	(Gastropoda)
NZAC03010319	Plot_7	Leaf-Litter	Eupulmonata	no rank	28S only	Mollusca	Gastropoda	(Gastropoda)
NZAC03009050	Plot_7	Leaf-Litter	Eupulmonata	no rank	28S only	Mollusca	Gastropoda	(Gastropoda)
NZAC03010144	Plot_7	Leaf-Litter	Curculionidae	family	28S only	Arthropoda	Insecta	Coleoptera
NZAC03010159	Plot_7	Leaf-Litter	Araneae	order	28S only	Arthropoda	Arachnida	Araneae
NZAC03010179	Plot_7	Leaf-Litter	Coleoptera	order	28S only	Arthropoda	Insecta	Coleoptera
NZAC03010195	Plot_7	Leaf-Litter	Eupulmonata	no rank	28S only	Mollusca	Gastropoda	(Gastropoda)
NZAC03009032	Plot_7	Leaf-Litter	Eupulmonata	no rank	28S only	Mollusca	Gastropoda	(Gastropoda)
NZAC03009324	Plot_7	Leaf-Litter	Eupulmonata	no rank	28S only	Mollusca	Gastropoda	(Gastropoda)
NZAC03010160	Plot_7	Leaf-Litter	Eupulmonata	no rank	28S only	Mollusca	Gastropoda	(Gastropoda)
NZAC03010214	Plot_7	Leaf-Litter	Curculionidae	family	28S only	Arthropoda	Insecta	Coleoptera
NZAC03009037	Plot_7	Leaf-Litter	Eupulmonata	no rank	28S only	Mollusca	Gastropoda	(Gastropoda)
NZAC03009273	Plot_7	Leaf-Litter	Lepidoptera	order	28S only	Arthropoda	Insecta	Lepidoptera
NZAC03009329	Plot_7	Leaf-Litter	Curculionidae	family	28S only	Arthropoda	Insecta	Coleoptera
NZAC03010200	Plot_7	Leaf-Litter	Hymenoptera	order	28S only	Arthropoda	Insecta	Hymenoptera
NZAC03010356	Plot_7	Leaf-Litter	Thysanoptera	order	28S only	Arthropoda	Insecta	Thysanoptera
NZAC03010344	Plot_7	Leaf-Litter	Curculionidae	family	28S only	Arthropoda	Insecta	Coleoptera
NZAC03010372	Plot_7	Leaf-Litter	Curculionidae	family	28S only	Arthropoda	Insecta	Coleoptera
NZAC03010364	Plot_7	Leaf-Litter	Araneae	order	28S only	Arthropoda	Arachnida	Araneae
NZAC03011060	Plot_8	Leaf-Litter	Hemiptera	order	28S only	Arthropoda	Insecta	Hemiptera
NZAC03011067	Plot_8	Leaf-Litter	Coleoptera	order	28S only	Arthropoda	Insecta	Coleoptera
NZAC03010259	Plot_1	Leaf-Litter	Lepidoptera	order	28S only	Arthropoda	Insecta	Lepidoptera
NZAC03011079	Plot_8	Leaf-Litter	Eupulmonata	no rank	28S only	Mollusca	Gastropoda	(Gastropoda)
NZAC03010260	Plot_1	Leaf-Litter	Lepidoptera	order	28S only	Arthropoda	Insecta	Lepidoptera
NZAC03011380	Plot_8	Leaf-Litter	Staphylinidae	family	28S only	Arthropoda	Insecta	Coleoptera
NZAC03012177	Plot_8	Leaf-Litter	Staphylinidae	family	28S only	Arthropoda	Insecta	Coleoptera
NZAC03013002	Plot_8	Leaf-Litter	Hemiptera	order	28S only	Arthropoda	Insecta	Hemiptera
NZAC03013294	Plot_8	Leaf-Litter	Eupulmonata	no rank	28S only	Mollusca	Gastropoda	(Gastropoda)
NZAC03013398	Plot_8	Leaf-Litter	Pseudoscorpiones	order	28S only	Arthropoda	Arachnida	Pseudoscorpiones
NZAC03013349	Plot_8	Leaf-Litter	Coleoptera	order	28S only	Arthropoda	Insecta	Coleoptera
NZAC03012339	Plot_8	Leaf-Litter	Curculionidae	family	28S only	Arthropoda	Insecta	Coleoptera
NZAC03013353	Plot_8	Leaf-Litter	Pselaphinae	subfamily	28S only	Arthropoda	Insecta	Coleoptera
NZAC03013269	Plot_8	Leaf-Litter	Staphylinidae	family	28S only	Arthropoda	Insecta	Coleoptera
NZAC03013335	Plot_8	Leaf-Litter	Eupulmonata	no rank	28S only	Mollusca	Gastropoda	(Gastropoda)
NZAC03014209	Plot_CM30c30	Leaf-Litter	Coleoptera	order	28S only	Arthropoda	Insecta	Coleoptera
NZAC03014353	Plot_LB1	Leaf-Litter	Hymenoptera	order	28S only	Arthropoda	Insecta	Hymenoptera
NZAC03014358	Plot_LB1	Leaf-Litter	Curculionidae	family	28S only	Arthropoda	Insecta	Coleoptera
NZAC03014307	Plot_CM30c30	Leaf-Litter	Curculionidae	family	28S only	Arthropoda	Insecta	Coleoptera
NZAC03014273	Plot_CM30c30	Leaf-Litter	Isopoda	order	28S only	Arthropoda	Malacostraca	Isopoda
NZAC03014321	Plot_CM30c30	Leaf-Litter	Lepidoptera	order	28S only	Arthropoda	Insecta	Lepidoptera
NZAC03013713	Plot_LB1	Leaf-Litter	Hemiptera	order	28S only	Arthropoda	Insecta	Hemiptera
NZAC03013809	Plot_LB1	Leaf-Litter	Hemiptera	order	28S only	Arthropoda	Insecta	Hemiptera
NZAC03013817	Plot_LB1	Leaf-Litter	Staphylinidae	family	28S only	Arthropoda	Insecta	Coleoptera
NZAC03013748	Plot_LB1	Leaf-Litter	Hemiptera	order	28S only	Arthropoda	Insecta	Hemiptera
NZAC03013732	Plot_LB1	Leaf-Litter	Lepidoptera	order	28S only	Arthropoda	Insecta	Lepidoptera
NZAC03009232	Plot_LB1	Pitfall-Trap	Coleoptera	order	28S only	Arthropoda	Insecta	Coleoptera
NZAC03009233	Plot_LB1	Pitfall-Trap	Scarabaeidae	family	28S only	Arthropoda	Insecta	Coleoptera
NZAC03009064	Plot_LB1	Pitfall-Trap	Orthoptera	order	28S only	Arthropoda	Insecta	Orthoptera
NZAC03009230	Plot_LB1	Pitfall-Trap	Isopoda	order	28S only	Arthropoda	Malacostraca	Isopoda
NZAC03013587	Plot_3	Pitfall-Trap	Araneae	order	28S only	Arthropoda	Arachnida	Araneae
NZAC03010879	Plot_1	Pitfall-Trap	Opiliones	order	28S only	Arthropoda	Arachnida	Opiliones
NZAC03010894	Plot_1	Pitfall-Trap	Hemiptera	order	28S only	Arthropoda	Insecta	Hemiptera
NZAC03010897	Plot_1	Pitfall-Trap	Polydesmida	order	28S only	Arthropoda	Diplopoda	Polydesmida
NZAC03009122	Plot_LB1	Pitfall-Trap	Carabidae	family	28S only	Arthropoda	Insecta	Coleoptera
NZAC03009163	Plot_LB1	Pitfall-Trap	Scaphidiinae	subfamily	28S only	Arthropoda	Insecta	Coleoptera
NZAC03013542	Plot_2	Pitfall-Trap	Araneae	order	28S only	Arthropoda	Arachnida	Araneae
NZAC03013601	Plot_2	Pitfall-Trap	Hemiptera	order	28S only	Arthropoda	Insecta	Hemiptera
NZAC03013460	Plot_2	Pitfall-Trap	Polydesmida	order	28S only	Arthropoda	Diplopoda	Polydesmida
NZAC03011610	Plot_6	Pitfall-Trap	Coleoptera	order	28S only	Arthropoda	Insecta	Coleoptera
NZAC03011538	Plot_5	Pitfall-Trap	Orthoptera	order	28S only	Arthropoda	Insecta	Orthoptera
NZAC03011824	Plot_5	Pitfall-Trap	Curculionidae	family	28S only	Arthropoda	Insecta	Coleoptera
NZAC03011478	Plot_5	Pitfall-Trap	Araneae	order	28S only	Arthropoda	Arachnida	Araneae
NZAC03011423	Plot_5	Pitfall-Trap	Orthoptera	order	28S only	Arthropoda	Insecta	Orthoptera
NZAC03011727	Plot_4	Pitfall-Trap	Lepidoptera	order	28S only	Arthropoda	Insecta	Lepidoptera
NZAC03011924	Plot_4	Pitfall-Trap	Aphidoidea	superfamily	28S only	Arthropoda	Insecta	Hemiptera
NZAC03011842	Plot_4	Pitfall-Trap	Araneae	order	28S only	Arthropoda	Arachnida	Araneae
NZAC03011485	Plot_4	Pitfall-Trap	Hemiptera	order	28S only	Arthropoda	Insecta	Hemiptera
NZAC03011451	Plot_4	Pitfall-Trap	Coleoptera	order	28S only	Arthropoda	Insecta	Coleoptera
NZAC03011571	Plot_4	Pitfall-Trap	Hymenoptera	order	28S only	Arthropoda	Insecta	Hymenoptera
NZAC03011621	Plot_4	Pitfall-Trap	Coleoptera	order	28S only	Arthropoda	Insecta	Coleoptera
NZAC03011539	Plot_4	Pitfall-Trap	Araneae	order	28S only	Arthropoda	Arachnida	Araneae
NZAC03011430	Plot_4	Pitfall-Trap	Coleoptera	order	28S only	Arthropoda	Insecta	Coleoptera
NZAC03011651	Plot_4	Pitfall-Trap	Coleoptera	order	28S only	Arthropoda	Insecta	Coleoptera
NZAC03011459	Plot_4	Pitfall-Trap	Hemiptera	order	28S only	Arthropoda	Insecta	Hemiptera
NZAC03011421	Plot_4	Pitfall-Trap	Blattodea	order	28S only	Arthropoda	Insecta	Blattodea
NZAC03010495	Plot_6	Pitfall-Trap	Araneae	order	28S only	Arthropoda	Arachnida	Araneae
NZAC03010428	Plot_6	Pitfall-Trap	Formicidae	family	28S only	Arthropoda	Insecta	Hymenoptera
NZAC03011762	Plot_5	Pitfall-Trap	Coleoptera	order	28S only	Arthropoda	Insecta	Coleoptera
NZAC03011829	Plot_5	Pitfall-Trap	Formicidae	family	28S only	Arthropoda	Insecta	Hymenoptera
NZAC03010886	Plot_1	Pitfall-Trap	Coleoptera	order	28S only	Arthropoda	Insecta	Coleoptera
NZAC03011833	Plot_5	Pitfall-Trap	Araneae	order	28S only	Arthropoda	Arachnida	Araneae
NZAC03010860	Plot_1	Pitfall-Trap	Hemiptera	order	28S only	Arthropoda	Insecta	Hemiptera
NZAC03013537	Plot_2	Pitfall-Trap	Hemiptera	order	28S only	Arthropoda	Insecta	Hemiptera
NZAC03006371	Plot_CM30c30	Pitfall-Trap	Staphylinidae	family	28S only	Arthropoda	Insecta	Coleoptera
NZAC03006286	Plot_CM30c30	Pitfall-Trap	Araneae	order	28S only	Arthropoda	Arachnida	Araneae
NZAC03011581	Plot_3	Pitfall-Trap	Hemiptera	order	28S only	Arthropoda	Insecta	Hemiptera
NZAC03006353	Plot_CM30c30	Pitfall-Trap	Diptera	order	28S only	Arthropoda	Insecta	Diptera
NZAC03006350	Plot_CM30c30	Pitfall-Trap	Diptera	order	28S only	Arthropoda	Insecta	Diptera
NZAC03011664	Plot_3	Pitfall-Trap	Hemiptera	order	28S only	Arthropoda	Insecta	Hemiptera
NZAC03006322	Plot_CM30c30	Pitfall-Trap	Diptera	order	28S only	Arthropoda	Insecta	Diptera
NZAC03013688	Plot_6	Pitfall-Trap	Hymenoptera	order	28S only	Arthropoda	Insecta	Hymenoptera
NZAC03010414	Plot_6	Pitfall-Trap	Lithobiomorpha	order	28S only	Arthropoda	Chilopoda	Lithobiomorpha
NZAC03009006	Plot_LB1	Pitfall-Trap	Hymenoptera	order	28S only	Arthropoda	Insecta	Hymenoptera
NZAC03009009	Plot_LB1	Pitfall-Trap	Formicidae	family	28S only	Arthropoda	Insecta	Hymenoptera
NZAC03009137	Plot_LB1	Pitfall-Trap	Staphylinidae	family	28S only	Arthropoda	Insecta	Coleoptera
NZAC03009152	Plot_LB1	Pitfall-Trap	Scaphidiinae	subfamily	28S only	Arthropoda	Insecta	Coleoptera
NZAC03010413	Plot_6	Pitfall-Trap	Isopoda	order	28S only	Arthropoda	Malacostraca	Isopoda
NZAC03010623	Plot_6	Pitfall-Trap	Hymenoptera	order	28S only	Arthropoda	Insecta	Hymenoptera
NZAC03010511	Plot_6	Pitfall-Trap	Hymenoptera	order	28S only	Arthropoda	Insecta	Hymenoptera
NZAC03012930	Plot_3	Leaf-Litter	Pselaphinae	subfamily	28S only	Arthropoda	Insecta	Coleoptera
NZAC03012708	Plot_3	Leaf-Litter	Pseudoscorpiones	order	28S only	Arthropoda	Arachnida	Pseudoscorpiones
NZAC03012710	Plot_3	Leaf-Litter	Pseudoscorpiones	order	28S only	Arthropoda	Arachnida	Pseudoscorpiones
NZAC03012718	Plot_3	Leaf-Litter	Lithobiomorpha	order	28S only	Arthropoda	Chilopoda	Lithobiomorpha
NZAC03012761	Plot_3	Leaf-Litter	Curculionidae	family	28S only	Arthropoda	Insecta	Coleoptera
NZAC03013175	Plot_6	Leaf-Litter	Curculionidae	family	28S only	Arthropoda	Insecta	Coleoptera
NZAC03009062	Plot_LB1	Pitfall-Trap	Coleoptera	order	28S only	Arthropoda	Insecta	Coleoptera
NZAC03011062	Plot_2	Leaf-Litter	Coleoptera	order	28S only	Arthropoda	Insecta	Coleoptera
NZAC03011183	Plot_2	Leaf-Litter	Coleoptera	order	28S only	Arthropoda	Insecta	Coleoptera
NZAC03013257	Plot_8	Leaf-Litter	Hemiptera	order	28S only	Arthropoda	Insecta	Hemiptera
NZAC03011293	Plot_6	Leaf-Litter	Coleoptera	order	28S only	Arthropoda	Insecta	Coleoptera
NZAC03013264	Plot_8	Leaf-Litter	Coleoptera	order	28S only	Arthropoda	Insecta	Coleoptera
NZAC03011724	Plot_6	Leaf-Litter	Araneae	order	28S only	Arthropoda	Arachnida	Araneae
NZAC03011787	Plot_6	Leaf-Litter	Hemiptera	order	28S only	Arthropoda	Insecta	Hemiptera
NZAC03011788	Plot_6	Leaf-Litter	Opiliones	order	28S only	Arthropoda	Arachnida	Opiliones
NZAC03011809	Plot_6	Leaf-Litter	Staphylinidae	family	28S only	Arthropoda	Insecta	Coleoptera
NZAC03011894	Plot_6	Leaf-Litter	Coleoptera	order	28S only	Arthropoda	Insecta	Coleoptera
NZAC03011936	Plot_5	Leaf-Litter	Polydesmida	order	28S only	Arthropoda	Diplopoda	Polydesmida
NZAC03013300	Plot_8	Leaf-Litter	Coleoptera	order	28S only	Arthropoda	Insecta	Coleoptera
NZAC03013313	Plot_6	Leaf-Litter	Polydesmida	order	28S only	Arthropoda	Diplopoda	Polydesmida
NZAC03012382	Plot_4	Leaf-Litter	Coleoptera	order	28S only	Arthropoda	Insecta	Coleoptera
NZAC03012413	Plot_4	Leaf-Litter	Isopoda	order	28S only	Arthropoda	Malacostraca	Isopoda
NZAC03012425	Plot_4	Leaf-Litter	Staphylinidae	family	28S only	Arthropoda	Insecta	Coleoptera
NZAC03013346	Plot_8	Leaf-Litter	Thysanoptera	order	28S only	Arthropoda	Insecta	Thysanoptera
NZAC03012814	Plot_5	Leaf-Litter	Polydesmida	order	28S only	Arthropoda	Diplopoda	Polydesmida
NZAC03013379	Plot_8	Leaf-Litter	Coleoptera	order	28S only	Arthropoda	Insecta	Coleoptera
NZAC03013124	Plot_6	Leaf-Litter	Diptera	order	28S only	Arthropoda	Insecta	Diptera
NZAC03012442	Plot_5	Leaf-Litter	Polydesmida	order	28S only	Arthropoda	Diplopoda	Polydesmida
NZAC03011949	Plot_5	Leaf-Litter	Polydesmida	order	28S only	Arthropoda	Diplopoda	Polydesmida
NZAC03009076	Plot_LB1	Pitfall-Trap	Scaphidiinae	subfamily	28S only	Arthropoda	Insecta	Coleoptera
NZAC03013604	Plot_6	Pitfall-Trap	Hymenoptera	order	28S only	Arthropoda	Insecta	Hymenoptera
NZAC03009025	Plot_LB1	Pitfall-Trap	Hymenoptera	order	28S only	Arthropoda	Insecta	Hymenoptera
NZAC03010581	Plot_6	Pitfall-Trap	Coleoptera	order	28S only	Arthropoda	Insecta	Coleoptera
NZAC03009149	Plot_LB1	Pitfall-Trap	Araneae	order	28S only	Arthropoda	Arachnida	Araneae
NZAC03011766	Plot_5	Pitfall-Trap	Salpingidae	family	28S only	Arthropoda	Insecta	Coleoptera
NZAC03011918	Plot_5	Pitfall-Trap	Salpingidae	family	28S only	Arthropoda	Insecta	Coleoptera
NZAC03011863	Plot_5	Pitfall-Trap	Scaphidiinae	subfamily	28S only	Arthropoda	Insecta	Coleoptera
NZAC03010795	Plot_1	Pitfall-Trap	Ptiliidae	family	28S only	Arthropoda	Insecta	Coleoptera
NZAC03011838	Plot_5	Pitfall-Trap	Lithobiomorpha	order	28S only	Arthropoda	Chilopoda	Lithobiomorpha
NZAC03010868	Plot_1	Pitfall-Trap	Hemiptera	order	28S only	Arthropoda	Insecta	Hemiptera
NZAC03010582	Plot_6	Pitfall-Trap	Polydesmida	order	28S only	Arthropoda	Diplopoda	Polydesmida
NZAC03011834	Plot_5	Pitfall-Trap	Orthoptera	order	28S only	Arthropoda	Insecta	Orthoptera
NZAC03011821	Plot_5	Pitfall-Trap	Formicidae	family	28S only	Arthropoda	Insecta	Hymenoptera
NZAC03011849	Plot_5	Pitfall-Trap	Salpingidae	family	28S only	Arthropoda	Insecta	Coleoptera
NZAC03011823	Plot_5	Pitfall-Trap	Coleoptera	order	28S only	Arthropoda	Insecta	Coleoptera
NZAC03011850	Plot_5	Pitfall-Trap	Formicidae	family	28S only	Arthropoda	Insecta	Hymenoptera
NZAC03011767	Plot_5	Pitfall-Trap	Lepidoptera	order	28S only	Arthropoda	Insecta	Lepidoptera
NZAC03011853	Plot_5	Pitfall-Trap	Salpingidae	family	28S only	Arthropoda	Insecta	Coleoptera
NZAC03011837	Plot_5	Pitfall-Trap	Araneae	order	28S only	Arthropoda	Arachnida	Araneae
NZAC03010846	Plot_1	Pitfall-Trap	Hemiptera	order	28S only	Arthropoda	Insecta	Hemiptera
NZAC03010550	Plot_6	Pitfall-Trap	Scaphidiinae	subfamily	28S only	Arthropoda	Insecta	Coleoptera
NZAC03011139	Plot_2	Leaf-Litter	Coleoptera	order	28S only	Arthropoda	Insecta	Coleoptera
NZAC03011185	Plot_2	Leaf-Litter	Lepidoptera	order	28S only	Arthropoda	Insecta	Lepidoptera
NZAC03011338	Plot_2	Leaf-Litter	Polydesmida	order	28S only	Arthropoda	Diplopoda	Polydesmida
NZAC03011083	Plot_2	Leaf-Litter	Polydesmida	order	28S only	Arthropoda	Diplopoda	Polydesmida
NZAC03011181	Plot_2	Leaf-Litter	Polydesmida	order	28S only	Arthropoda	Diplopoda	Polydesmida
NZAC03011194	Plot_2	Leaf-Litter	Polydesmida	order	28S only	Arthropoda	Diplopoda	Polydesmida
NZAC03011268	Plot_2	Leaf-Litter	Pauropoda	order	28S only	Arthropoda	(Myriapoda)	Pauropoda
NZAC03011334	Plot_2	Leaf-Litter	Lepidoptera	order	28S only	Arthropoda	Insecta	Lepidoptera
NZAC03011271	Plot_2	Leaf-Litter	Polydesmida	order	28S only	Arthropoda	Diplopoda	Polydesmida
NZAC03011335	Plot_2	Leaf-Litter	Hemiptera	order	28S only	Arthropoda	Insecta	Hemiptera
NZAC03011387	Plot_8	Leaf-Litter	Coleoptera	order	28S only	Arthropoda	Insecta	Coleoptera
NZAC03011390	Plot_8	Leaf-Litter	Hymenoptera	order	28S only	Arthropoda	Insecta	Hymenoptera
NZAC03012202	Plot_8	Leaf-Litter	Coleoptera	order	28S only	Arthropoda	Insecta	Coleoptera
NZAC03011374	Plot_8	Leaf-Litter	Lepidoptera	order	28S only	Arthropoda	Insecta	Lepidoptera
NZAC03011391	Plot_8	Leaf-Litter	Pselaphinae	subfamily	28S only	Arthropoda	Insecta	Coleoptera
NZAC03011113	Plot_8	Leaf-Litter	Curculionidae	family	28S only	Arthropoda	Insecta	Coleoptera
NZAC03011123	Plot_8	Leaf-Litter	Coleoptera	order	28S only	Arthropoda	Insecta	Coleoptera
NZAC03011383	Plot_8	Leaf-Litter	Hemiptera	order	28S only	Arthropoda	Insecta	Hemiptera
NZAC03011913	Plot_4	Pitfall-Trap	Trogidae	family	28S only	Arthropoda	Insecta	Coleoptera
NZAC03011813	Plot_4	Pitfall-Trap	Eupulmonata	no rank	28S only	Mollusca	Gastropoda	(Gastropoda)
NZAC03010622	Plot_4	Pitfall-Trap	Araneae	order	28S only	Arthropoda	Arachnida	Araneae
NZAC03011819	Plot_4	Pitfall-Trap	Araneae	order	28S only	Arthropoda	Arachnida	Araneae
NZAC03011856	Plot_4	Pitfall-Trap	Lepidoptera	order	28S only	Arthropoda	Insecta	Lepidoptera
NZAC03011919	Plot_4	Pitfall-Trap	Lepidoptera	order	28S only	Arthropoda	Insecta	Lepidoptera
NZAC03011911	Plot_4	Pitfall-Trap	Geophilomorpha	order	28S only	Arthropoda	Chilopoda	Geophilomorpha
NZAC03011816	Plot_4	Pitfall-Trap	Polydesmida	order	28S only	Arthropoda	Diplopoda	Polydesmida
NZAC03011861	Plot_4	Pitfall-Trap	Coleoptera	order	28S only	Arthropoda	Insecta	Coleoptera
NZAC03011908	Plot_4	Pitfall-Trap	Curculionidae	family	28S only	Arthropoda	Insecta	Coleoptera
NZAC03011897	Plot_4	Pitfall-Trap	Polydesmida	order	28S only	Arthropoda	Diplopoda	Polydesmida
NZAC03011859	Plot_4	Pitfall-Trap	Eupulmonata	no rank	28S only	Mollusca	Gastropoda	(Gastropoda)
NZAC03011898	Plot_4	Pitfall-Trap	Curculionidae	family	28S only	Arthropoda	Insecta	Coleoptera
NZAC03011909	Plot_4	Pitfall-Trap	Trogidae	family	28S only	Arthropoda	Insecta	Coleoptera
NZAC03011912	Plot_4	Pitfall-Trap	Coleoptera	order	28S only	Arthropoda	Insecta	Coleoptera
NZAC03010482	Plot_4	Pitfall-Trap	Coleoptera	order	28S only	Arthropoda	Insecta	Coleoptera
NZAC03011902	Plot_4	Pitfall-Trap	Araneae	order	28S only	Arthropoda	Arachnida	Araneae
NZAC03011820	Plot_4	Pitfall-Trap	Curculionidae	family	28S only	Arthropoda	Insecta	Coleoptera
NZAC03013487	Plot_4	Pitfall-Trap	Lepidoptera	order	28S only	Arthropoda	Insecta	Lepidoptera
NZAC03012525	Plot_5	Leaf-Litter	Polydesmida	order	28S only	Arthropoda	Diplopoda	Polydesmida
NZAC03011998	Plot_6	Leaf-Litter	Polydesmida	order	28S only	Arthropoda	Diplopoda	Polydesmida
NZAC03012458	Plot_5	Leaf-Litter	Polydesmida	order	28S only	Arthropoda	Diplopoda	Polydesmida
NZAC03012094	Plot_6	Leaf-Litter	Polydesmida	order	28S only	Arthropoda	Diplopoda	Polydesmida
NZAC03012932	Plot_5	Leaf-Litter	Polydesmida	order	28S only	Arthropoda	Diplopoda	Polydesmida
NZAC03012541	Plot_5	Leaf-Litter	Polydesmida	order	28S only	Arthropoda	Diplopoda	Polydesmida
NZAC03012466	Plot_5	Leaf-Litter	Polydesmida	order	28S only	Arthropoda	Diplopoda	Polydesmida
NZAC03012080	Plot_6	Leaf-Litter	Polydesmida	order	28S only	Arthropoda	Diplopoda	Polydesmida
NZAC03011223	Plot_CM30c30	Leaf-Litter	Curculionidae	family	28S only	Arthropoda	Insecta	Coleoptera
NZAC03011158	Plot_CM30c30	Leaf-Litter	Polydesmida	order	28S only	Arthropoda	Diplopoda	Polydesmida
NZAC03011251	Plot_CM30c30	Leaf-Litter	Polydesmida	order	28S only	Arthropoda	Diplopoda	Polydesmida
NZAC03011035	Plot_CM30c30	Leaf-Litter	Curculionidae	family	28S only	Arthropoda	Insecta	Coleoptera
NZAC03011234	Plot_CM30c30	Leaf-Litter	Coleoptera	order	28S only	Arthropoda	Insecta	Coleoptera
NZAC03014198	Plot_CM30c30	Leaf-Litter	Isopoda	order	28S only	Arthropoda	Malacostraca	Isopoda
NZAC03011244	Plot_CM30c30	Leaf-Litter	Coleoptera	order	28S only	Arthropoda	Insecta	Coleoptera
NZAC03011087	Plot_CM30c30	Leaf-Litter	Polydesmida	order	28S only	Arthropoda	Diplopoda	Polydesmida
NZAC03011211	Plot_CM30c30	Leaf-Litter	Polydesmida	order	28S only	Arthropoda	Diplopoda	Polydesmida
NZAC03013134	Plot_CM30c30	Leaf-Litter	Polydesmida	order	28S only	Arthropoda	Diplopoda	Polydesmida
NZAC03010369	Plot_7	Leaf-Litter	Araneae	order	28S only	Arthropoda	Arachnida	Araneae
NZAC03014329	Plot_CM30c30	Leaf-Litter	Polydesmida	order	28S only	Arthropoda	Diplopoda	Polydesmida
